VIV_SEL,HOGAR,ND_TIPO,BPCOD,R_SEL,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_7,BP1_8,BP1_20,BP1_23,BP1_31,BP1_35_1,BP1_35_2,BP1_35_3,BP1_35_4,BP1_35_5,BP1_35_6,BP1_35_7,BP1_35_8,BP1_35_9,BP1_35_10,BP1_35_11,BP1_35_99,BP1_36,BP1_37,BP1_38,FAC_DEL,DOM,EST,UPM
5,1,1,9,1,12,1,1,3,1,2,2,1,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,270,1,1,19
5,1,1,10,1,12,1,1,2,1,2,2,1,2,4,2,0,0,0,0,0,1,1,0,1,0,0,0,2,0,100,270,1,1,19
5,1,1,5,1,8,1,1,1,4,1,2,1,2,6,1,1,0,1,1,0,0,0,1,0,0,0,0,1,3500,0,266,1,1,20
5,1,1,2,1,1,1,1,4,1,2,1,1,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3000,0,144,1,2,22
1,1,1,8,1,1,1,1,3,2,1,1,2,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,100,348,1,2,23
1,1,1,8,2,11,1,1,1,2,1,2,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,368,1,2,24
3,1,1,2,1,9,1,1,3,1,2,1,1,2,6,2,1,1,0,0,0,0,0,0,0,0,0,0,1,900,0,184,1,2,24
5,1,1,3,2,8,1,1,3,2,1,1,2,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,5,8569,381,184,1,2,24
1,1,1,3,1,3,1,1,2,2,2,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5000,0,175,1,2,26
2,1,1,9,1,11,1,1,2,1,2,2,1,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,70000,0,525,1,2,26
2,1,1,8,4,10,1,1,1,2,1,1,1,2,5,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,890,1,1,28
4,1,1,3,3,6,1,1,2,2,2,1,1,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1500,0,178,1,1,28
1,1,1,8,1,2,1,1,4,2,1,1,2,2,7,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,632,1,2,29
2,1,1,6,1,4,1,1,2,5,2,1,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,27000,0,158,1,2,29
3,1,1,2,1,1,1,1,4,1,2,1,1,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,750,0,158,1,2,29
3,1,2,2,1,3,1,1,4,1,2,1,1,2,5,2,0,1,0,0,0,0,0,1,0,0,0,0,1,750,0,158,1,2,29
3,1,3,2,1,12,1,1,4,1,2,1,1,2,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,800,0,158,1,2,29
4,1,1,2,1,6,1,1,4,1,2,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3200,0,158,1,2,29
1,1,1,2,3,10,1,1,4,1,2,1,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2000,0,183,1,1,30
1,2,1,5,1,9,1,1,9,5,1,2,2,2,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,7000,0,169,1,1,31
5,1,1,2,1,6,1,1,4,1,2,1,1,2,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,400,0,169,1,1,31
1,1,1,2,3,4,1,1,4,1,2,1,1,2,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2500,0,180,1,1,32
4,1,1,3,3,6,1,1,3,2,2,1,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1000,0,180,1,1,32
1,1,1,1,2,11,1,1,3,1,2,1,1,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,1,15000,0,191,1,2,33
2,1,1,2,1,12,1,1,4,1,2,1,1,2,4,2,0,1,1,1,0,1,1,0,1,0,0,0,1,1500,0,191,1,2,33
2,1,1,8,1,5,1,1,2,2,1,2,2,2,3,2,1,1,0,1,0,1,1,0,1,0,0,0,3,0,0,573,1,2,33
2,1,2,8,1,9,1,1,1,2,1,2,2,2,3,2,1,0,1,1,0,1,1,0,0,0,0,0,3,0,0,573,1,2,33
3,1,1,6,2,8,1,1,2,4,2,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8569,381,764,1,2,33
2,1,1,8,2,11,1,1,2,2,1,2,1,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,350,1,2,35
4,1,1,9,2,3,1,1,3,1,2,2,1,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,350,1,2,35
4,1,2,9,2,8,1,1,3,1,2,2,1,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1000,350,1,2,35
5,1,1,8,2,6,1,1,2,2,1,2,1,2,9,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,350,1,2,35
3,1,1,8,1,1,1,1,2,2,1,2,1,2,9,2,1,1,1,1,0,1,1,1,0,0,0,0,5,8569,381,654,1,3,36
5,1,1,6,2,7,26,999,9,4,2,1,1,2,9,2,1,1,1,1,0,0,0,1,0,0,0,0,1,4000,0,872,1,3,36
4,1,1,2,2,3,1,1,2,1,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,800,0,191,1,2,37
4,1,1,8,2,2,1,1,3,2,1,2,1,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,5,8569,381,382,1,2,37
4,1,1,12,2,4,1,1,3,6,2,2,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,382,1,2,37
4,1,2,2,2,4,1,1,2,1,2,1,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,800,0,191,1,2,37
4,1,2,8,2,10,1,1,2,2,1,2,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,5,8569,381,382,1,2,37
4,1,3,2,2,7,1,1,2,1,2,1,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,800,0,191,1,2,37
4,1,3,8,2,12,1,1,3,2,1,2,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,5,8569,381,382,1,2,37
4,1,4,2,2,9,1,1,3,1,2,1,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,800,0,191,1,2,37
5,1,1,8,1,1,6,7,2,2,1,2,2,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8569,381,191,1,2,37
5,2,1,9,1,4,32,57,3,1,2,1,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,191,1,2,37
5,2,1,10,1,4,32,57,3,1,2,1,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,191,1,2,37
2,1,1,2,1,4,1,1,3,1,2,1,1,2,4,2,0,0,1,1,0,0,0,1,0,0,0,0,1,15000,0,214,1,3,38
2,1,1,2,2,5,14,8,3,1,2,1,1,2,6,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2000,0,304,1,2,43
2,1,1,3,2,2,14,8,2,2,2,1,1,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,5000,0,304,1,2,43
2,1,1,4,2,4,14,8,1,1,2,2,1,2,6,2,0,0,0,1,0,0,0,0,0,0,0,0,1,2500,0,608,1,2,43
2,1,2,2,2,7,14,8,3,1,2,1,1,2,6,2,0,0,1,0,0,0,0,0,0,0,0,0,1,700,0,304,1,2,43
2,1,1,8,1,6,1,1,3,1,1,2,1,2,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1100,0,348,1,1,44
4,1,1,10,1,12,1,1,2,1,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,0,0,0,3,2000,0,174,1,1,44
3,1,1,2,1,8,1,1,2,1,2,1,1,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3000,0,184,1,1,46
4,1,1,8,2,7,1,1,9,2,1,2,1,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,477,1,2,47
4,1,1,2,2,2,1,1,4,1,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,1,1,5000,0,174,1,1,48
2,1,1,2,2,3,1,1,1,5,2,1,1,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2500,0,177,1,2,49
3,1,1,2,5,11,1,1,4,1,2,1,1,2,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,15000,0,177,1,2,49
2,1,1,2,2,3,1,1,4,1,2,1,1,2,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1500,0,177,1,1,52
1,1,1,1,1,11,1,1,4,1,2,1,1,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,1,45000,0,192,1,1,53
1,1,1,6,2,10,14,39,9,4,2,1,1,2,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,32000,0,579,1,3,54
3,1,1,2,2,5,1,1,2,1,2,1,1,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5900,0,193,1,3,54
3,1,2,2,2,7,1,1,3,1,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1050,0,193,1,3,54
2,1,1,2,3,8,1,1,2,1,2,1,1,2,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,4000,0,169,1,2,56
4,1,1,12,4,9,1,1,1,1,2,2,1,2,6,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,676,1,2,56
5,1,1,4,3,11,1,1,3,5,2,1,2,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5000,0,507,1,2,56
5,1,1,6,3,3,1,1,4,5,2,1,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,8000,0,507,1,2,56
5,1,1,3,3,7,1,1,2,2,1,1,2,1,4,1,0,1,0,1,0,0,0,1,1,0,0,0,1,5000,0,166,1,1,57
3,1,1,6,1,5,1,1,2,4,2,1,1,2,9,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2500,0,180,1,1,58
4,1,1,9,2,12,1,1,3,1,2,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,540,1,1,58
4,1,1,10,3,1,1,1,4,4,2,1,1,2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,700,540,1,1,59
2,2,1,9,2,12,1,1,3,1,2,1,1,2,99,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,338,1,1,61
4,1,1,2,1,6,1,1,3,1,1,2,1,2,8,2,0,0,0,1,0,0,0,0,0,0,0,0,1,4000,0,169,1,1,61
4,1,1,3,1,5,1,1,3,2,1,1,2,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,5000,0,169,1,1,61
4,1,1,4,1,4,1,1,3,1,2,2,1,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,45000,0,169,1,1,61
4,1,1,11,1,4,1,1,3,1,2,2,1,2,6,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5000,0,169,1,1,61
4,1,2,3,1,11,1,1,3,2,1,2,2,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4000,0,169,1,1,61
2,3,1,7,1,3,1,1,1,2,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1800,0,156,1,2,62
4,1,1,3,4,8,1,1,9,2,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,500,0,156,1,2,62
5,1,1,8,1,10,1,1,2,2,1,1,1,2,9,2,1,0,0,0,0,0,0,0,0,0,0,0,5,8569,381,468,1,2,62
2,1,1,2,1,2,1,1,4,1,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,6000,0,200,1,2,63
2,1,1,6,1,3,14,120,2,4,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,0,1,0,1,9999999,0,200,1,2,63
2,1,1,8,1,1,1,1,2,1,1,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,5,8569,381,200,1,2,63
5,1,1,2,1,9,1,1,1,1,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1000,0,200,1,2,63
5,1,1,3,1,4,1,1,1,2,2,1,1,2,99,2,0,0,0,0,0,0,0,1,0,0,0,0,1,500,0,200,1,2,63
1,1,1,8,1,10,1,1,3,3,1,2,1,2,6,2,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,597,1,2,65
1,1,1,4,3,2,1,1,3,1,2,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1000,0,486,1,1,66
1,1,1,8,3,1,1,1,1,2,1,1,2,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,5,8569,381,486,1,1,66
1,1,2,8,3,4,1,1,3,2,1,1,2,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,5,8569,381,486,1,1,66
5,1,1,9,2,9,1,1,1,3,2,1,2,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,9999999,2000,324,1,1,66
1,1,1,1,2,5,1,1,3,1,2,1,1,1,4,2,1,1,1,1,0,0,0,1,0,0,0,0,1,2000,0,163,1,2,67
1,1,1,14,2,12,1,1,2,1,1,1,1,2,6,2,1,1,1,0,0,0,1,1,0,0,0,0,2,0,200,326,1,2,67
2,1,1,8,2,4,1,1,1,2,1,2,1,1,4,2,1,1,1,1,1,0,0,0,1,0,0,0,3,0,0,326,1,2,67
4,1,1,2,2,4,1,1,3,1,2,1,1,2,6,1,1,1,1,1,1,1,1,1,1,0,0,0,1,30000,0,163,1,2,67
4,1,1,9,2,1,1,1,1,5,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,0,0,0,3,100,0,326,1,2,67
1,1,1,2,1,3,1,1,3,1,2,1,1,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,6000,0,157,1,3,68
1,1,1,3,1,3,1,1,1,2,2,1,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,66000,0,157,1,3,68
2,1,1,8,1,3,1,1,1,2,1,2,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,157,1,3,68
4,2,1,9,1,10,1,1,2,3,2,1,1,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,163,1,2,69
4,2,2,9,1,11,1,1,2,3,2,2,1,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,163,1,2,69
4,2,3,9,1,12,1,1,2,3,2,2,1,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,163,1,2,69
4,3,1,2,1,7,1,1,2,1,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,8000,0,163,1,2,69
4,3,1,9,1,3,1,1,1,3,2,1,2,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,60000,0,163,1,2,69
5,1,1,7,2,8,1,1,2,1,2,1,1,2,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,6000,0,344,1,1,70
1,1,1,5,4,12,1,1,2,8,2,1,1,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,100,0,684,1,2,71
1,1,1,8,4,2,1,1,1,2,1,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8569,381,684,1,2,71
1,1,2,8,4,5,1,1,1,2,1,1,2,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,5,8569,381,684,1,2,71
1,1,3,8,4,7,1,1,2,2,1,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,5,8569,381,684,1,2,71
1,1,4,8,4,8,1,1,1,2,1,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,5,8569,381,684,1,2,71
1,1,5,8,4,12,1,1,2,2,1,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8569,381,684,1,2,71
3,1,1,4,2,9,1,1,2,1,2,2,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1200,0,370,1,2,75
5,1,1,10,1,9,1,1,4,1,2,2,1,2,8,2,0,1,1,1,0,0,0,0,1,0,0,0,2,0,0,370,1,2,75
2,1,1,2,2,1,1,1,1,1,2,1,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1000,0,189,1,3,76
2,1,2,2,2,3,1,1,1,1,2,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1000,0,189,1,3,76
2,1,3,2,2,4,1,1,1,1,2,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,300,0,189,1,3,76
2,1,4,2,2,10,1,1,1,1,2,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1000,0,189,1,3,76
2,1,5,2,2,12,1,1,1,1,2,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1000,0,189,1,3,76
3,1,1,8,2,10,1,1,2,2,1,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,378,1,3,76
5,1,1,2,1,6,1,1,4,1,2,1,1,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3000,0,189,1,3,76
5,1,1,6,1,11,1,1,9,4,2,1,1,2,99,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2000,0,378,1,3,76
3,1,1,3,1,2,1,1,3,2,1,1,1,1,4,2,1,1,1,1,0,0,0,1,0,0,0,0,3,2600,0,165,1,2,77
4,1,1,6,2,6,1,1,3,5,2,1,1,1,4,2,1,1,1,1,1,1,1,1,0,0,0,0,1,10000,0,495,1,2,77
5,1,1,12,1,9,1,1,3,1,2,1,1,2,4,2,0,0,1,0,0,1,1,1,1,0,0,0,3,0,0,165,1,2,77
1,1,1,5,2,12,1,1,1,3,2,1,1,2,4,2,0,0,1,0,0,0,0,1,0,0,0,0,1,5000,0,516,1,3,78
2,1,1,2,4,9,1,1,1,1,2,1,1,2,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1400,0,172,1,3,78
1,1,1,2,1,9,1,1,1,1,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,5000,0,178,1,2,79
1,1,1,6,1,9,1,1,9,4,2,1,1,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,5000,0,356,1,2,79
5,1,1,7,1,9,1,1,9,4,2,1,1,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1,150000,0,178,1,2,79
2,1,1,6,1,10,1,1,2,4,2,1,1,2,4,2,1,1,1,1,0,0,0,1,0,0,0,0,1,8000,0,648,1,2,81
5,1,1,2,2,4,1,1,3,1,2,1,1,2,4,2,1,1,1,1,0,1,1,1,1,0,0,0,1,900,0,162,1,2,81
3,1,1,8,1,10,1,1,1,2,1,1,2,2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,5,8569,381,519,1,1,82
3,1,2,8,1,10,1,1,1,2,1,1,2,2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,5,8569,381,519,1,1,82
3,1,3,8,1,10,1,1,1,2,1,1,2,2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,5,8569,381,519,1,1,82
1,1,1,3,2,12,1,5,3,2,2,1,1,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0,300,323,1,4,83
1,1,1,5,2,12,1,5,3,1,1,2,1,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,3,9999999,0,646,1,4,83
3,1,1,12,2,9,1,5,1,6,2,2,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,646,1,4,83
3,1,2,12,2,10,1,5,1,6,2,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,646,1,4,83
3,1,3,12,2,12,1,5,3,1,2,2,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,646,1,4,83
2,1,1,4,2,8,19,39,1,5,2,1,1,2,9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,8000,0,642,1,3,84
4,1,1,7,1,9,1,1,2,1,2,1,1,2,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1800,0,181,1,1,85
3,1,1,2,2,10,1,1,2,1,2,1,1,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2000,0,197,1,2,87
3,1,1,3,2,8,1,1,2,2,2,1,1,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,25000,0,197,1,2,87
5,1,1,2,1,3,1,1,3,1,2,1,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3000,0,197,1,2,87
2,1,1,2,3,11,1,1,4,1,2,1,1,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3000,0,173,1,3,88
2,1,1,6,3,2,1,1,2,8,2,1,1,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,5000,0,519,1,3,88
5,1,1,2,3,4,1,1,3,1,2,1,1,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1000,0,172,1,1,89
5,1,1,9,3,3,1,1,2,3,2,2,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,5,8569,381,516,1,1,89
5,1,1,10,3,9,1,1,3,1,2,1,1,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,100,516,1,1,89
5,1,2,2,3,10,1,1,3,1,2,1,1,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1000,0,172,1,1,89
5,1,2,9,3,4,1,1,3,5,2,1,1,2,4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,516,1,1,89
5,1,2,10,3,12,1,1,3,2,2,1,1,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,516,1,1,89
5,1,3,9,3,3,1,1,1,3,2,2,1,2,4,2,0,0,1,0,0,0,0,0,1,0,0,0,5,8569,381,516,1,1,89
1,1,1,2,2,1,1,1,2,4,2,1,1,2,6,2,0,0,1,0,0,0,0,0,0,0,0,0,1,8000,0,160,1,2,91
1,1,1,3,2,8,1,1,3,2,1,1,1,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1,20000,0,160,1,2,91
1,1,1,4,2,12,1,1,2,1,2,2,1,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,0,320,1,2,91
1,1,1,9,2,7,1,1,2,1,2,2,1,2,6,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8569,381,320,1,2,91
1,1,2,2,2,4,1,1,1,1,2,1,1,2,6,2,0,0,0,1,0,0,0,0,0,0,0,0,1,2500,0,160,1,2,91
1,1,2,9,2,8,1,1,2,1,2,1,1,2,6,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8569,381,320,1,2,91
1,1,3,9,2,10,1,1,3,2,2,2,1,2,6,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8569,381,320,1,2,91
