VIV_SEL,HOGAR,ND_TIPO,BPCOD,R_SEL,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_7,BP1_8,BP1_20,BP1_23,BP1_31,BP1_35_1,BP1_35_2,BP1_35_3,BP1_35_4,BP1_35_5,BP1_35_6,BP1_35_7,BP1_35_8,BP1_35_9,BP1_35_10,BP1_35_11,BP1_35_99,BP1_36,BP1_37,BP1_38,FAC_DEL,DOM,EST,UPM,CLUSTERS
5,1,1,3,2,8,1,1,3,2,1,1,2,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,5,8569,381,184,1,2,24,1
1,1,1,3,1,3,1,1,2,2,2,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5000,0,175,1,2,26,1
2,1,1,9,1,11,1,1,2,1,2,2,1,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,70000,0,525,1,2,26,1
2,1,1,8,4,10,1,1,1,2,1,1,1,2,5,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,890,1,1,28,1
4,1,1,3,3,6,1,1,2,2,2,1,1,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1500,0,178,1,1,28,1
1,1,1,8,1,2,1,1,4,2,1,1,2,2,7,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,632,1,2,29,1
2,1,1,6,1,4,1,1,2,5,2,1,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,27000,0,158,1,2,29,1
3,1,1,2,1,1,1,1,4,1,2,1,1,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,750,0,158,1,2,29,1
3,1,2,2,1,3,1,1,4,1,2,1,1,2,5,2,0,1,0,0,0,0,0,1,0,0,0,0,1,750,0,158,1,2,29,1
3,1,3,2,1,12,1,1,4,1,2,1,1,2,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,800,0,158,1,2,29,1
4,1,1,2,1,6,1,1,4,1,2,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3200,0,158,1,2,29,1
1,1,1,2,3,10,1,1,4,1,2,1,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2000,0,183,1,1,30,1
1,2,1,5,1,9,1,1,9,5,1,2,2,2,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,7000,0,169,1,1,31,1
5,1,1,2,1,6,1,1,4,1,2,1,1,2,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,400,0,169,1,1,31,1
1,1,1,2,3,4,1,1,4,1,2,1,1,2,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2500,0,180,1,1,32,1
4,1,1,3,3,6,1,1,3,2,2,1,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1000,0,180,1,1,32,1
1,1,1,1,2,11,1,1,3,1,2,1,1,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,1,15000,0,191,1,2,33,1
2,1,1,2,1,12,1,1,4,1,2,1,1,2,4,2,0,1,1,1,0,1,1,0,1,0,0,0,1,1500,0,191,1,2,33,1
2,1,1,8,1,5,1,1,2,2,1,2,2,2,3,2,1,1,0,1,0,1,1,0,1,0,0,0,3,0,0,573,1,2,33,1
2,1,2,8,1,9,1,1,1,2,1,2,2,2,3,2,1,0,1,1,0,1,1,0,0,0,0,0,3,0,0,573,1,2,33,1
3,1,1,6,2,8,1,1,2,4,2,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8569,381,764,1,2,33,1
2,1,1,8,2,11,1,1,2,2,1,2,1,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,350,1,2,35,1
4,1,1,9,2,3,1,1,3,1,2,2,1,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,350,1,2,35,1
4,1,2,9,2,8,1,1,3,1,2,2,1,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1000,350,1,2,35,1
5,1,1,8,2,6,1,1,2,2,1,2,1,2,9,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,350,1,2,35,1
3,1,1,8,1,1,1,1,2,2,1,2,1,2,9,2,1,1,1,1,0,1,1,1,0,0,0,0,5,8569,381,654,1,3,36,1
5,1,1,6,2,7,26,999,9,4,2,1,1,2,9,2,1,1,1,1,0,0,0,1,0,0,0,0,1,4000,0,872,1,3,36,1
4,1,1,2,2,3,1,1,2,1,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,800,0,191,1,2,37,1
4,1,1,8,2,2,1,1,3,2,1,2,1,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,5,8569,381,382,1,2,37,1
4,1,1,12,2,4,1,1,3,6,2,2,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,382,1,2,37,1
4,1,2,2,2,4,1,1,2,1,2,1,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,800,0,191,1,2,37,1
4,1,2,8,2,10,1,1,2,2,1,2,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,5,8569,381,382,1,2,37,1
4,1,3,2,2,7,1,1,2,1,2,1,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,800,0,191,1,2,37,1
4,1,3,8,2,12,1,1,3,2,1,2,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,5,8569,381,382,1,2,37,1
4,1,4,2,2,9,1,1,3,1,2,1,1,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,800,0,191,1,2,37,1
5,1,1,8,1,1,6,7,2,2,1,2,2,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8569,381,191,1,2,37,1
5,2,1,9,1,4,32,57,3,1,2,1,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,191,1,2,37,1
5,2,1,10,1,4,32,57,3,1,2,1,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,191,1,2,37,1
2,1,1,2,1,4,1,1,3,1,2,1,1,2,4,2,0,0,1,1,0,0,0,1,0,0,0,0,1,15000,0,214,1,3,38,1
2,1,1,2,2,5,14,8,3,1,2,1,1,2,6,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2000,0,304,1,2,43,1
2,1,1,3,2,2,14,8,2,2,2,1,1,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,5000,0,304,1,2,43,1
2,1,1,4,2,4,14,8,1,1,2,2,1,2,6,2,0,0,0,1,0,0,0,0,0,0,0,0,1,2500,0,608,1,2,43,1
2,1,2,2,2,7,14,8,3,1,2,1,1,2,6,2,0,0,1,0,0,0,0,0,0,0,0,0,1,700,0,304,1,2,43,1
2,1,1,8,1,6,1,1,3,1,1,2,1,2,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1100,0,348,1,1,44,1
4,1,1,10,1,12,1,1,2,1,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,0,0,0,3,2000,0,174,1,1,44,1
