VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,DOMINIO,ESTRATO,EST_DIS,UPM_DIS
5,1,1,1,3,3,14,1,3,1,1,4,2,9,2,3,2,5,1,1,0,0,0,0,0,0,0,0,0,0,1,4,3,176
2,1,1,1,2,2,14,1,1,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,256
1,2,2,2,2,1,14,1,6,1,1,3,1,2,2,6,2,1,1,1,1,1,0,0,0,1,1,0,0,0,1,2,1,99
3,1,1,1,4,1,14,1,5,1,1,4,2,2,2,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,3,176
3,1,3,3,2,3,14,1,4,1,1,3,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,62
3,1,3,4,3,3,14,1,1,1,1,3,2,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,97
4,1,1,1,3,1,14,1,10,1,1,2,2,9,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,101
2,1,4,4,2,1,14,1,3,1,1,4,1,2,2,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,97
1,1,1,2,2,1,14,1,11,1,1,1,1,2,2,9,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,177
3,1,1,4,3,3,14,1,2,1,1,3,2,9,2,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,97
3,1,2,4,3,3,14,1,2,1,1,4,2,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,97
3,1,1,1,2,2,14,1,6,1,1,2,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,90
1,1,1,1,2,2,14,1,2,1,1,2,1,2,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,5,262
1,1,1,1,4,2,14,1,1,1,1,2,2,2,1,99,2,1,1,1,1,1,1,0,1,1,1,0,0,0,2,3,9,281
4,1,1,1,3,1,14,1,5,1,1,4,2,9,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,98
2,1,1,2,1,2,14,1,3,1,1,3,1,2,1,99,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,177
3,1,4,4,3,3,14,1,1,1,1,4,2,9,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,97
3,1,1,1,9,2,14,1,4,1,1,1,4,1,2,4,1,3,0,0,0,0,0,0,0,0,1,1,0,0,1,4,3,253
5,1,1,1,11,3,14,1,4,1,1,4,5,1,2,7,1,2,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,95
1,1,1,1,4,2,14,1,4,1,1,2,2,2,1,99,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,3,2,86
4,1,1,1,2,3,14,1,4,1,1,1,1,2,1,99,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,152
5,1,1,1,2,2,14,1,4,1,1,2,5,2,2,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,9,281
4,1,1,2,11,6,14,1,11,1,1,2,1,1,2,3,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,168
3,1,1,1,4,2,14,1,5,1,1,2,2,2,2,6,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,2,1,256
5,1,1,2,2,3,14,1,12,1,1,4,2,2,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,177
5,1,1,2,5,2,14,1,2,1,1,2,5,1,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,9,281
2,1,2,2,1,2,14,1,2,1,1,1,1,2,1,99,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,177
