VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,FAC_DEL,DOM,EST,UPM,EST_SOC
5,1,1,1,8,2,1,5,8,19,2,2,1,2,4,2,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,1,1212,1,62,2934,4
2,1,1,3,9,1,1,5,8,19,1,2,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,321,1,62,2935,4
2,1,2,3,9,1,1,7,8,19,2,2,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,321,1,62,2935,4
2,1,3,3,9,1,1,8,8,19,2,2,2,2,3,2,5,5754,258,1,0,0,0,0,0,0,0,0,0,0,0,321,1,62,2935,4
4,1,1,1,9,1,1,9,8,19,2,2,1,2,4,2,5,5754,258,1,0,0,0,0,0,0,0,0,0,0,0,321,1,62,2935,4
2,1,1,1,1,2,1,2,8,19,3,1,1,1,4,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,322,1,61,2936,3
2,1,1,1,7,2,1,3,8,19,2,4,1,2,9,2,1,15000,0,1,0,0,0,0,0,0,0,0,0,0,0,1288,1,61,2936,3
1,1,1,1,2,1,1,6,8,19,2,2,2,2,3,2,1,700,0,1,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2937,3
2,1,1,1,4,1,1,7,8,19,4,2,1,1,4,2,1,6000,0,0,1,0,0,0,0,0,1,0,0,0,0,284,1,61,2937,3
3,1,1,1,9,3,1,7,8,19,2,2,1,2,6,2,5,5754,258,0,1,0,0,0,0,0,0,0,0,0,0,1136,1,61,2937,3
2,1,1,1,4,2,1,12,8,19,2,2,2,1,4,2,1,3000,0,1,0,0,0,0,0,0,0,0,0,0,0,315,1,61,2940,3
1,1,1,1,8,2,1,3,8,19,9,4,1,1,4,2,1,30000,0,0,1,0,0,0,0,0,0,1,0,0,0,1468,1,61,2941,3
2,1,1,1,1,1,1,12,8,19,3,4,1,1,4,2,1,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
2,1,1,1,5,1,1,5,8,19,1,1,1,1,4,2,1,600,0,0,0,0,0,0,0,0,0,0,0,0,0,852,1,61,2942,3
2,1,1,1,7,1,1,7,8,19,9,4,1,1,4,2,1,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,852,1,61,2942,3
2,1,1,1,9,1,1,10,8,19,2,2,1,2,4,2,5,5754,258,1,1,1,0,0,0,0,0,1,0,0,0,852,1,61,2942,3
2,1,1,3,4,1,1,2,8,19,1,2,2,1,4,2,1,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
2,1,1,5,2,1,1,1,8,19,4,1,2,2,8,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
2,1,2,3,4,1,1,1,8,19,9,2,1,1,4,2,1,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
2,1,2,5,2,1,1,2,8,19,4,2,2,2,3,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
2,1,3,3,4,1,1,2,8,19,2,2,1,1,4,2,1,130,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
2,1,3,5,2,1,1,3,8,19,4,1,2,2,3,2,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
2,1,4,5,2,1,1,9,8,19,4,2,2,2,4,2,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
2,1,5,5,2,1,1,7,8,19,4,2,2,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
3,1,1,1,3,1,1,6,8,19,4,2,1,2,4,2,1,490,0,0,0,0,0,0,0,0,0,1,0,0,0,284,1,61,2942,3
3,4,1,1,8,1,1,4,8,19,2,2,1,2,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
3,4,1,2,7,1,1,8,8,19,9,4,1,2,7,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
3,4,1,2,9,1,1,3,8,19,2,2,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
3,4,2,2,7,1,1,2,8,19,9,4,1,2,7,2,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1,61,2942,3
3,4,2,2,9,1,1,4,8,19,2,2,1,2,7,2,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,284,1,61,2942,3
2,1,1,1,4,2,1,8,8,19,2,2,2,2,7,2,3,3000,0,0,0,0,1,0,0,0,0,0,0,0,0,367,1,61,2943,3
3,1,1,1,3,3,1,99,8,19,3,2,1,2,3,2,5,5754,258,1,1,1,0,0,0,0,0,0,0,0,0,687,1,60,2944,2
5,1,1,1,3,2,1,6,8,19,4,1,1,2,6,2,1,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,687,1,60,2944,2
4,1,1,1,3,1,1,6,8,19,3,2,1,2,4,1,1,3000,0,0,0,0,0,0,0,1,1,1,0,0,0,392,1,62,2946,4
5,1,1,1,7,1,1,4,8,19,3,4,1,2,9,2,1,3000,0,0,0,1,0,0,0,0,0,0,0,0,0,784,1,62,2946,4
1,1,1,1,1,2,1,3,8,19,3,2,2,2,9,2,1,1000,0,1,0,0,0,0,1,0,0,0,0,0,0,372,1,62,2947,4
4,1,1,1,2,1,1,10,8,19,4,2,1,2,6,2,1,3000,0,1,0,0,0,0,0,0,0,0,0,0,0,637,1,60,2948,2
3,1,1,1,10,2,1,4,8,19,2,2,1,2,4,2,5,5754,258,0,1,1,0,0,0,0,0,1,0,0,0,927,1,61,2949,3
3,1,1,2,2,2,1,4,8,19,3,2,2,1,4,2,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,309,1,61,2949,3
3,1,2,2,2,2,1,6,8,19,3,2,2,2,4,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,309,1,61,2949,3
4,1,1,1,2,1,1,5,8,19,1,2,2,1,4,2,1,2000,0,0,0,1,0,0,0,0,0,1,0,0,0,309,1,61,2949,3
2,1,1,1,2,2,1,9,8,19,4,2,2,2,6,2,1,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,886,1,60,2950,2
3,1,1,1,8,2,1,10,8,19,1,4,1,2,5,2,1,2500,0,0,0,0,0,0,0,0,0,1,0,0,0,1772,1,60,2950,2
1,1,1,1,1,1,1,3,8,19,3,1,1,1,4,1,1,60000,0,0,0,0,0,0,0,0,0,1,0,0,0,317,1,62,2951,4
2,1,1,2,1,3,1,2,8,19,4,1,1,1,4,1,4,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,317,1,62,2951,4
2,1,1,2,2,3,1,4,8,19,4,2,1,2,5,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,317,1,62,2951,4
2,1,1,2,9,3,1,1,8,19,1,7,2,1,4,2,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1585,1,62,2951,4
2,1,1,3,5,3,1,7,8,19,2,1,1,2,5,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1585,1,62,2951,4
2,1,2,2,1,3,1,8,8,19,3,4,2,1,4,2,4,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,317,1,62,2951,4
2,1,2,2,2,3,1,4,8,19,4,2,1,2,5,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,317,1,62,2951,4
2,1,2,2,9,3,1,8,8,19,2,2,1,2,4,2,5,5754,258,0,1,0,0,0,0,0,0,0,0,0,0,1585,1,62,2951,4
2,1,2,3,5,3,1,5,8,19,2,1,1,2,5,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1585,1,62,2951,4
2,1,3,3,5,3,1,9,8,19,2,1,1,2,4,2,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1585,1,62,2951,4
1,1,1,1,2,1,1,6,8,19,2,2,2,2,4,2,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,485,1,60,2952,2
1,1,1,1,5,1,1,6,8,19,2,1,1,2,4,2,1,600,0,0,0,0,0,0,0,0,1,0,0,0,0,485,1,60,2952,2
5,1,1,1,2,3,1,6,8,19,4,2,2,2,7,2,1,600,0,0,0,1,0,0,0,0,0,0,0,0,0,485,1,60,2952,2
2,1,1,1,9,1,1,5,8,19,1,2,1,2,1,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,388,1,61,2953,3
2,1,1,1,1,3,1,6,8,19,4,2,2,1,4,2,1,15000,0,1,0,0,0,0,0,0,0,0,0,0,0,536,1,61,2954,3
3,1,1,1,2,2,1,10,8,19,4,2,2,2,1,2,1,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,536,1,61,2954,3
4,1,1,1,9,3,1,3,8,19,2,2,1,2,5,2,5,5754,258,0,0,0,1,0,0,0,0,0,0,0,0,1608,1,61,2954,3
5,1,1,1,1,1,1,9,8,19,3,1,2,2,4,2,1,15000,0,1,0,0,0,0,0,0,0,0,0,0,0,536,1,61,2954,3
1,1,1,1,2,2,1,10,8,19,4,2,1,2,4,2,1,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,437,1,60,2955,2
2,1,1,1,10,1,1,2,8,22,2,5,1,2,4,2,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,282,1,61,2956,3
4,1,1,1,9,2,1,11,8,19,1,2,1,2,4,2,5,5754,258,1,0,0,0,0,0,0,0,0,0,0,0,564,1,61,2956,3
2,1,1,1,2,4,1,99,8,19,4,1,1,2,4,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,263,1,62,2958,4
2,1,1,1,7,4,1,4,8,19,1,4,1,2,9,2,1,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,1052,1,62,2958,4
3,1,1,1,10,1,1,3,8,19,2,2,1,1,4,2,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,263,1,62,2958,4
4,1,1,1,10,1,1,2,8,19,3,3,1,2,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,263,1,62,2958,4
2,1,1,1,5,1,1,10,8,19,2,1,1,1,4,2,1,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,666,1,62,2960,4
3,1,1,1,2,2,1,7,8,19,2,1,2,1,4,1,1,6000,0,0,0,0,1,0,0,0,0,0,0,0,0,333,1,62,2960,4
5,1,1,1,1,2,1,9,8,19,2,1,1,1,4,2,1,3000,0,1,0,0,0,0,0,0,0,0,0,0,0,333,1,62,2960,4
1,1,1,1,7,1,1,5,7,999,9,4,1,2,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,738,1,62,2961,4
4,1,1,5,2,4,1,3,8,19,2,4,2,2,4,2,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,443,1,62,2961,4
4,1,1,5,3,4,1,99,8,19,2,1,1,2,4,2,1,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,443,1,62,2961,4
4,1,2,5,2,4,1,9,8,19,1,1,2,2,4,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,443,1,62,2961,4
4,1,2,5,3,4,1,99,8,19,1,1,1,2,4,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,443,1,62,2961,4
4,1,3,5,2,4,1,10,8,19,2,1,2,2,4,2,1,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,443,1,62,2961,4
4,1,3,5,3,4,1,99,8,19,1,1,1,1,4,2,1,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,443,1,62,2961,4
4,1,4,5,2,4,1,11,8,19,2,1,2,2,4,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,443,1,62,2961,4
4,1,4,5,3,4,1,12,8,19,1,1,1,2,4,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,443,1,62,2961,4
4,1,5,5,2,4,1,11,8,19,1,5,2,2,4,2,1,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,443,1,62,2961,4
4,1,5,5,3,4,1,12,8,19,3,1,1,2,4,2,1,50,0,0,0,0,1,0,0,0,0,0,0,0,0,443,1,62,2961,4
5,1,1,1,2,4,1,99,8,19,3,1,2,2,4,2,1,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,369,1,62,2961,4
5,1,1,1,9,4,1,99,8,19,2,2,1,2,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1845,1,62,2961,4
1,1,1,1,1,2,1,2,8,19,3,1,1,1,4,2,1,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1,62,2962,4
1,1,1,1,2,2,1,3,8,19,4,1,2,2,4,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1,62,2962,4
1,1,1,1,3,2,1,3,8,19,4,2,1,2,4,2,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1,62,2962,4
1,1,1,1,7,2,1,4,8,19,1,2,1,2,4,2,1,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,614,1,62,2962,4
1,1,1,1,9,2,1,5,8,19,1,3,2,2,4,2,3,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,614,1,62,2962,4
1,1,1,3,10,2,1,9,8,19,1,2,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,614,1,62,2962,4
1,1,2,3,10,2,1,11,8,19,1,2,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,614,1,62,2962,4
1,1,3,3,10,2,1,12,8,19,1,2,1,2,4,2,5,5754,258,0,0,1,0,0,0,0,0,0,0,0,0,614,1,62,2962,4
3,1,1,1,4,2,1,3,8,19,2,2,2,1,4,2,3,20000,0,0,1,0,0,0,0,0,0,0,0,0,0,307,1,62,2962,4
3,1,1,2,1,2,1,6,8,19,4,2,1,1,4,2,1,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1,62,2962,4
3,1,1,2,2,2,1,9,8,19,3,2,2,2,4,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1,62,2962,4
3,1,2,2,1,2,1,4,8,19,3,2,2,1,4,2,1,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1,62,2962,4
3,1,2,2,2,2,1,9,8,19,2,1,2,2,4,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1,62,2962,4
3,1,1,1,2,3,1,3,8,19,3,1,2,1,4,2,1,50000,0,0,1,0,1,0,0,0,0,0,0,0,0,355,1,62,2963,4
5,1,1,1,2,2,1,8,8,19,3,2,2,2,4,2,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,355,1,62,2963,4
5,1,1,1,4,2,1,12,8,19,3,2,2,2,4,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,355,1,62,2963,4
5,1,1,1,7,2,1,11,8,19,9,9,1,1,4,2,1,3000,0,1,0,0,0,0,0,0,0,0,0,0,0,710,1,62,2963,4
1,1,1,1,1,3,1,5,8,19,3,1,1,1,4,1,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,480,1,61,2964,3
1,1,1,1,3,3,1,6,8,19,3,2,1,1,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,480,1,61,2964,3
1,1,1,1,11,3,1,3,8,19,3,2,1,1,4,1,2,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,1440,1,61,2964,3
4,1,1,1,2,2,1,2,8,19,4,2,2,2,4,2,1,4000,0,0,0,0,0,0,0,0,0,1,0,0,0,480,1,61,2964,3
1,1,1,2,15,1,1,5,8,19,2,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,1,62,2965,4
1,1,2,2,15,1,1,6,8,19,3,1,1,2,4,2,3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,294,1,62,2965,4
2,1,1,2,2,1,1,3,8,19,3,4,2,2,7,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,294,1,62,2965,4
2,1,1,3,9,1,1,4,8,19,2,3,1,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,1,62,2965,4
2,1,2,2,2,1,1,4,8,19,2,4,2,2,9,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,294,1,62,2965,4
2,1,2,3,9,1,1,2,8,19,1,3,2,2,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,1,62,2965,4
2,1,3,3,9,1,1,12,8,19,2,2,1,2,9,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,294,1,62,2965,4
3,1,1,1,3,1,1,99,8,19,2,1,1,2,4,2,1,500,0,0,0,0,1,0,0,0,0,0,0,0,0,294,1,62,2965,4
4,1,1,1,9,1,1,4,8,19,2,2,2,2,4,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,588,1,62,2965,4
2,1,1,1,1,2,1,1,8,19,1,1,2,1,4,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,271,1,61,2966,3
2,1,1,1,2,2,1,3,8,19,4,1,2,2,3,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,271,1,61,2966,3
2,1,1,1,3,2,1,10,8,19,3,1,1,2,5,2,1,600,0,0,0,0,1,0,0,0,0,0,0,0,0,271,1,61,2966,3
5,1,1,1,7,1,1,3,8,19,1,4,1,2,9,2,5,5754,258,0,0,0,1,0,0,0,0,0,0,0,0,542,1,61,2966,3
3,1,1,1,7,2,1,11,8,19,1,4,1,2,4,2,1,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,540,1,62,2967,4
3,1,1,1,9,2,1,8,8,19,2,2,1,2,3,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,540,1,62,2967,4
3,1,1,2,4,2,1,9,8,19,1,2,2,1,4,2,1,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1,62,2967,4
3,1,2,2,4,2,1,2,8,19,1,2,2,2,4,2,1,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1,62,2967,4
4,1,1,1,2,5,1,3,8,19,3,1,2,2,9,2,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1,62,2967,4
4,1,1,1,4,5,1,5,8,19,1,2,2,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,270,1,62,2967,4
4,1,1,1,5,5,1,1,8,19,3,1,1,2,9,2,1,6000,0,0,0,0,0,0,1,0,0,0,0,0,0,1350,1,62,2967,4
5,1,1,1,7,1,1,8,8,19,1,4,1,2,9,2,2,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,540,1,62,2967,4
4,1,1,1,5,1,1,12,8,19,3,1,1,2,5,2,2,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,1,60,2968,2
4,1,1,3,9,1,1,6,8,19,1,1,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,1875,1,60,2968,2
4,1,2,3,9,1,1,7,8,19,2,2,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,1875,1,60,2968,2
4,1,3,3,9,1,1,8,8,19,1,2,1,2,3,2,5,5754,258,0,0,1,0,0,0,0,0,0,0,0,0,1875,1,60,2968,2
1,1,1,1,2,3,1,5,8,19,3,5,2,2,3,2,1,2000,0,0,1,0,0,0,0,0,0,0,0,0,0,327,1,61,2969,3
4,1,1,1,1,3,1,11,8,19,4,1,2,1,4,2,5,5754,258,0,1,1,1,0,0,0,1,1,0,0,0,461,1,60,2970,2
3,1,1,1,1,2,1,4,8,19,4,1,2,1,4,1,1,12000,0,0,0,0,1,0,0,0,1,1,0,0,0,342,1,61,2971,3
4,1,1,1,2,1,1,10,8,19,1,1,2,2,4,2,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,342,1,61,2971,3
4,1,1,1,4,1,1,3,8,19,4,2,2,2,4,2,1,8000,0,0,0,0,0,0,0,0,0,1,0,0,0,342,1,61,2971,3
5,1,1,1,3,2,1,11,8,19,3,2,1,2,6,1,5,5754,258,0,0,0,0,0,0,0,0,0,1,0,0,342,1,61,2971,3
1,1,1,1,2,2,1,10,8,19,2,1,2,2,6,2,5,5754,258,1,1,1,1,0,0,0,1,1,0,0,0,365,1,61,2972,3
3,1,1,1,10,1,1,2,8,19,2,1,1,1,4,2,1,0,3000,0,0,0,0,0,0,0,1,1,0,0,0,730,1,61,2972,3
4,1,1,1,1,2,1,2,8,19,4,1,2,2,7,1,1,5000,0,1,1,0,0,0,0,0,0,0,0,0,0,365,1,61,2972,3
2,1,1,1,9,1,1,7,8,19,2,2,1,1,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1164,1,62,2973,4
3,1,1,1,4,2,1,4,8,19,3,2,2,1,4,2,1,9000,0,0,1,0,0,0,0,0,0,0,0,0,0,392,1,61,2974,3
3,1,1,4,2,1,1,99,8,19,4,2,2,2,8,2,1,600,0,0,0,0,0,0,0,0,0,0,0,0,0,371,1,61,2975,3
3,1,2,4,2,1,1,99,8,19,4,2,2,2,4,2,1,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,371,1,61,2975,3
3,1,3,4,2,1,1,99,8,19,4,2,2,2,4,2,1,600,0,0,0,0,0,0,0,0,0,0,0,0,0,371,1,61,2975,3
3,1,4,4,2,1,1,99,8,19,4,2,2,2,4,2,1,400,0,0,0,0,1,0,0,0,0,1,0,0,0,371,1,61,2975,3
3,1,1,1,2,3,1,6,8,19,4,2,2,1,4,2,1,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,280,1,61,2976,3
2,1,1,1,2,1,1,6,8,19,3,1,2,2,6,2,1,600,0,0,0,1,0,0,1,0,1,0,0,0,0,334,1,61,2977,3
2,1,1,1,8,1,1,6,8,19,2,2,1,2,4,2,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1874,1,60,2978,2
2,1,1,1,9,1,1,2,8,19,3,2,2,2,4,2,5,5754,258,0,0,1,0,0,0,0,0,0,0,0,0,1874,1,60,2978,2
1,1,1,1,1,3,1,5,8,19,4,1,2,1,4,2,1,20000,0,0,0,1,0,0,0,0,1,1,0,0,0,378,1,61,2979,3
4,1,1,1,1,2,1,12,8,19,4,1,2,1,4,2,3,5000,0,0,0,1,0,0,0,0,1,1,0,0,0,378,1,61,2979,3
1,1,1,1,4,3,1,4,8,19,2,2,1,2,1,2,3,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,330,1,61,2980,3
1,1,1,2,8,3,1,9,8,19,2,4,1,2,4,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,990,1,61,2980,3
1,1,1,2,9,3,1,7,8,19,2,2,1,2,3,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,990,1,61,2980,3
1,1,1,3,2,3,1,1,8,19,4,1,2,2,4,2,1,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,330,1,61,2980,3
1,1,1,3,10,3,1,9,8,19,3,2,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,1,61,2980,3
1,1,2,2,8,3,1,5,8,19,2,4,1,2,4,2,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,990,1,61,2980,3
1,1,2,2,9,3,1,2,8,19,2,2,1,2,1,2,3,0,800,0,0,0,0,0,0,0,0,0,0,0,0,990,1,61,2980,3
1,1,2,3,2,3,1,10,8,19,3,1,2,2,4,2,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,330,1,61,2980,3
1,1,2,3,10,3,1,10,8,19,3,2,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,1,61,2980,3
1,1,3,3,2,3,1,12,8,19,2,3,2,2,4,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,330,1,61,2980,3
1,1,3,3,10,3,1,12,8,19,3,1,1,2,1,2,3,0,200,0,0,0,1,0,1,0,0,1,0,0,0,990,1,61,2980,3
3,1,1,1,2,4,1,5,8,19,3,1,1,2,8,1,1,2000,0,0,1,1,0,0,0,1,0,0,0,0,0,330,1,61,2980,3
4,1,1,1,4,2,1,11,8,19,1,2,1,1,4,1,3,17000,0,0,0,1,0,0,0,0,1,0,0,0,0,330,1,61,2980,3
1,1,1,1,9,1,1,8,8,19,1,2,1,2,4,2,5,5754,258,0,0,1,0,0,0,0,0,0,0,0,0,1520,1,61,2981,3
1,1,1,1,2,1,1,10,8,19,4,2,2,2,5,2,1,8000,0,0,0,0,0,0,0,0,0,1,0,0,0,265,1,61,2982,3
2,1,1,1,9,1,1,3,8,19,1,3,1,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,265,1,61,2982,3
3,1,1,1,4,3,1,1,8,19,2,2,2,1,4,2,3,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,265,1,61,2982,3
5,1,1,2,3,1,1,8,8,19,1,1,1,2,3,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,265,1,61,2982,3
5,1,2,2,3,1,1,8,8,19,9,1,1,2,3,2,5,5754,258,1,1,0,0,0,0,0,0,0,0,0,0,265,1,61,2982,3
1,1,1,1,5,3,1,8,8,19,2,1,1,2,4,2,1,1200,0,0,0,1,1,0,0,0,1,1,0,0,0,1416,1,62,2983,4
2,1,1,1,9,1,1,7,8,19,2,4,2,2,4,2,1,7000,0,0,1,1,0,0,0,0,1,0,0,0,0,944,1,62,2983,4
2,1,1,1,10,2,1,2,8,19,2,2,1,2,4,2,1,10000,0,0,1,1,0,0,0,0,0,0,0,0,0,1166,1,60,2984,2
5,1,1,1,5,2,1,1,8,19,2,1,1,1,4,2,1,1700,0,1,1,1,0,1,0,0,0,0,0,0,0,1166,1,60,2984,2
1,1,1,1,3,2,1,3,8,19,2,4,1,2,4,2,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,328,1,62,2985,4
1,1,1,1,7,2,1,9,8,19,3,4,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,1,62,2985,4
1,1,1,1,9,2,1,9,8,19,2,2,1,2,4,2,5,5754,258,1,0,0,0,0,1,0,1,0,0,0,0,656,1,62,2985,4
2,1,1,2,3,2,1,8,8,19,3,1,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,328,1,62,2985,4
2,1,2,2,3,2,1,12,8,19,3,1,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,1,1,0,0,0,328,1,62,2985,4
3,1,1,1,2,1,1,11,8,19,1,1,2,2,4,2,1,1800,0,0,0,0,0,0,0,0,1,0,0,0,0,328,1,62,2985,4
5,1,1,3,9,1,1,4,8,19,1,2,1,2,3,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,328,1,62,2985,4
5,1,2,3,9,1,1,6,8,19,2,2,1,2,3,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,328,1,62,2985,4
5,1,3,3,9,1,1,11,8,19,3,2,1,2,3,2,5,5754,258,0,0,0,0,0,0,0,0,1,0,0,0,328,1,62,2985,4
3,1,1,1,1,4,1,8,8,19,4,2,1,1,4,2,1,156000,0,0,1,1,0,0,0,0,1,1,0,0,0,361,1,62,2986,4
1,1,1,1,2,1,1,12,8,19,3,3,1,2,8,2,1,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,663,1,60,2987,2
1,1,1,1,4,1,1,7,8,19,3,2,1,2,6,2,1,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,663,1,60,2987,2
