VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,DOMINIO,ESTRATO,EST_DIS,UPM_DIS
2,1,1,1,9,2,1,2,42,14,3,1,1,2,2,1,2,3,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,11
1,1,1,1,3,1,1,1,48,14,2,1,1,3,1,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,111
20,1,4,4,2,1,1,2,30,14,2,1,1,2,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295
4,1,1,2,3,1,1,1,59,14,6,1,1,4,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,15
4,1,1,1,2,1,1,1,38,14,1,1,1,9,9,2,2,99,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,4,233,6238
5,1,2,2,4,4,1,2,25,14,1,1,1,9,2,2,2,4,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,4,3,252
5,1,1,1,2,1,1,1,68,14,4,1,1,4,1,2,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,127
8,1,1,1,10,1,1,1,30,14,12,1,1,3,2,1,2,3,2,5,1,0,0,1,0,0,0,0,0,0,0,0,3,2,11,295
1,1,3,3,2,2,1,2,40,14,4,1,1,3,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,200
5,1,1,3,10,3,1,1,18,14,12,1,1,2,1,1,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,116
3,1,1,1,5,1,1,1,33,14,10,1,1,3,1,1,2,8,1,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,13
5,1,1,2,4,4,1,2,25,14,7,1,1,2,2,2,1,99,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,252
5,1,1,1,2,1,1,2,52,14,6,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,14
3,1,1,1,3,2,1,2,57,14,10,1,1,4,2,9,2,4,2,1,1,0,0,1,0,0,0,1,1,0,0,0,1,3,2,176
2,1,1,1,3,5,1,2,20,14,3,1,1,4,2,9,2,8,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,86
2,1,1,1,2,3,1,2,29,14,5,1,1,4,1,2,2,6,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,3,2,6
5,1,1,1,4,2,1,2,27,14,6,1,1,2,2,1,2,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,2,3,10,281
3,1,1,1,7,1,1,1,29,14,7,1,1,2,4,9,2,6,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,18
5,1,1,1,2,2,1,2,27,14,11,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,10,281
2,1,1,2,2,2,1,1,41,14,7,1,1,4,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,224
3,1,1,1,2,2,1,2,47,14,2,1,1,3,1,2,2,5,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,219
5,1,1,2,3,1,1,2,52,14,11,1,1,1,3,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,14
4,1,1,1,3,1,1,2,53,14,10,1,1,3,2,9,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,90
4,1,2,2,2,2,1,2,44,14,2,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45
2,1,1,1,4,5,1,2,20,14,10,1,1,4,2,1,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,86
3,1,1,1,2,3,1,1,28,14,5,1,1,3,2,2,2,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,4,3,108
4,1,4,5,4,2,1,2,44,14,2,1,1,4,2,1,2,8,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45
6,1,1,1,7,2,1,2,35,14,6,1,1,9,9,9,2,4,2,1,1,1,1,1,1,1,1,1,1,0,0,0,3,2,11,295
5,1,1,1,2,3,1,1,18,14,3,1,1,2,1,1,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,116
5,1,2,3,10,3,1,1,18,14,1,1,1,3,1,1,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,116
15,1,1,1,10,1,1,1,31,14,7,1,1,2,1,1,2,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,3,2,11,294
1,2,1,1,9,1,1,1,35,14,12,1,1,2,2,1,2,3,2,3,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,43
4,1,1,1,2,1,1,2,53,14,5,1,1,1,5,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,90
4,1,1,1,11,2,1,2,25,14,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,0,1,1,0,0,0,1,3,2,54
4,1,1,1,7,1,1,2,53,14,3,1,1,9,4,9,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,90
2,1,1,1,9,4,1,1,21,14,6,1,1,2,1,1,2,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,138
20,1,1,2,4,1,1,2,30,14,12,1,1,3,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295
19,1,1,1,2,1,1,1,41,14,99,1,1,2,1,2,2,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,11,304
4,1,2,2,3,1,1,1,59,14,4,1,1,4,2,9,2,4,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,15
3,1,2,2,3,1,1,1,29,14,4,1,1,3,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,18
5,1,1,1,15,1,1,1,30,14,4,1,1,9,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,69
2,1,1,2,2,1,1,1,64,14,11,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,40
2,1,1,1,6,5,1,2,20,14,7,1,1,2,4,1,2,7,2,5,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,86
5,1,1,1,2,1,1,1,60,14,9,1,1,1,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,227
1,1,2,2,2,1,1,1,48,14,6,1,1,3,1,2,2,4,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,111
1,2,1,1,4,1,1,1,35,14,7,1,1,1,2,1,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,43
2,2,1,1,11,3,1,2,19,14,12,1,1,2,1,1,2,4,2,2,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,37
2,1,1,1,5,2,1,2,23,14,4,1,1,2,1,1,2,7,2,3,0,0,1,1,0,0,0,1,1,0,0,0,1,2,1,149
2,1,1,1,2,2,1,2,43,14,10,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,184
5,1,1,1,2,4,1,2,25,14,6,1,1,3,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,252
1,3,2,2,2,1,1,2,32,14,4,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,17
4,1,1,5,4,2,1,2,44,14,12,1,1,2,2,1,2,8,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45
2,1,1,1,4,1,1,2,38,14,6,1,1,4,2,1,2,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,27
1,1,1,1,3,3,1,2,22,14,6,1,1,4,2,9,2,7,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,174
3,1,3,3,2,2,1,2,28,14,1,1,1,4,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,24
5,1,1,2,2,1,1,1,23,14,12,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,161
3,1,1,1,2,1,1,1,59,14,2,1,1,4,2,2,2,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,31
1,1,3,3,3,2,1,2,45,14,99,1,1,3,1,9,2,6,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,3,2,122
2,1,1,1,10,2,1,2,43,14,5,1,1,2,2,1,1,99,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,184
1,1,1,1,3,2,1,2,51,14,5,1,1,2,2,9,2,9,2,5,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,20
1,1,1,2,2,1,1,1,48,14,12,1,1,3,4,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,5,261
20,1,1,4,2,1,1,2,30,14,9,1,1,2,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295
3,1,1,2,3,1,1,1,29,14,11,1,1,3,2,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,18
20,1,1,2,9,1,1,2,30,14,12,1,1,1,1,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295
1,3,1,2,2,1,1,2,32,14,99,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,17
4,1,1,1,5,2,1,1,24,14,11,1,1,4,1,1,2,9,1,3,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,157
3,1,1,1,2,1,1,1,49,14,2,1,1,4,1,2,2,3,2,5,0,1,1,1,0,0,0,0,0,0,0,0,1,3,2,99
3,1,1,2,2,1,1,1,33,14,11,1,1,3,3,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,13
4,1,2,2,4,1,1,2,43,14,5,1,1,1,2,2,2,8,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,191
2,1,1,1,4,2,1,2,39,14,7,1,1,9,2,2,2,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,9,277
14,1,1,1,9,4,1,2,23,14,3,1,1,2,3,1,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,2,2,593,13140
1,1,1,3,3,2,1,2,45,14,10,1,1,3,1,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,122
5,1,1,1,4,3,1,2,23,14,8,1,1,2,2,2,2,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,16
2,2,1,1,10,3,1,2,19,14,12,1,1,4,8,1,1,99,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,37
3,1,1,1,9,2,1,2,57,14,6,1,1,1,2,1,2,8,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,176
3,1,1,1,2,1,1,1,29,14,4,1,1,4,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,18
1,3,1,1,4,1,1,2,32,14,2,1,1,2,2,1,2,4,2,1,0,1,1,0,0,0,0,1,1,0,0,0,1,3,2,17
4,1,1,2,13,2,1,2,19,14,8,1,1,1,1,1,2,5,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,154
2,1,1,1,5,3,1,1,27,14,9,1,1,4,1,1,2,3,2,1,1,0,0,0,0,0,1,1,1,0,0,0,1,3,2,146
5,1,1,1,10,1,1,1,27,14,8,1,1,1,1,1,2,4,2,5,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,157
2,1,1,2,2,5,1,2,20,14,10,1,1,4,2,1,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,86
3,1,1,1,6,2,1,1,23,14,7,1,1,3,3,2,2,9,2,1,1,1,1,1,1,0,0,1,1,0,0,0,1,4,3,68
5,1,3,3,10,3,1,1,18,14,1,1,1,3,1,1,2,6,2,3,0,1,0,0,0,0,0,1,1,0,0,0,1,3,2,116
3,1,1,1,10,1,1,1,56,14,12,1,1,3,1,1,2,4,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,141
5,1,1,2,5,1,1,1,28,14,9,1,1,2,6,1,2,8,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,206
3,1,2,2,2,1,1,1,47,14,4,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,148
4,1,1,2,2,3,1,1,40,14,9,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,134
1,1,1,1,10,1,1,2,35,14,7,1,1,2,1,1,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,182
2,1,1,1,4,1,1,1,40,14,10,1,1,4,2,1,2,4,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,4,3,204
4,1,1,1,13,1,1,2,53,14,5,1,1,1,1,1,2,4,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,90
4,1,1,2,4,1,1,2,43,14,1,1,1,4,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,191
2,1,2,3,3,2,1,2,36,14,4,1,1,9,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,122
5,1,1,1,3,2,1,2,48,14,2,1,1,1,2,9,2,9,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,130
2,1,3,3,3,2,1,2,36,14,12,1,1,3,1,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,122
5,1,1,3,8,2,1,2,31,14,4,1,1,2,4,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,93
2,1,1,3,3,2,1,2,36,14,2,1,1,2,1,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,122
3,2,2,2,2,1,1,1,37,14,4,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,6
3,1,1,1,1,1,1,1,33,14,4,1,1,2,3,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,13
4,1,1,1,3,2,1,2,43,14,6,1,1,3,2,9,2,4,2,1,0,1,0,0,0,0,0,1,1,0,0,0,1,2,1,102
4,1,1,1,4,5,1,1,34,14,6,1,1,4,2,2,2,6,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,213
3,1,1,1,3,1,1,1,76,14,4,1,1,4,2,9,2,7,2,5,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,144
3,1,1,1,2,2,1,2,28,14,2,1,1,2,1,2,2,3,2,1,0,1,1,1,0,0,0,1,0,0,0,0,1,3,2,119
4,1,1,1,2,2,1,2,25,14,10,1,1,3,1,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,54
1,1,1,2,2,1,1,1,48,14,10,1,1,2,1,2,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,111
4,1,3,4,3,2,1,2,44,14,6,1,1,4,2,9,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45
5,1,1,1,6,3,1,1,27,14,4,1,1,4,1,1,2,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,86
5,1,1,1,6,1,1,1,39,14,99,1,1,9,1,2,2,4,2,5,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,117
1,1,1,1,5,4,1,1,23,14,5,1,1,3,1,1,1,99,2,1,1,1,1,1,1,0,1,1,1,0,0,0,1,2,1,4
1,1,1,3,2,2,1,2,40,14,12,1,1,1,1,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,200
2,1,2,2,2,5,1,2,20,14,2,1,1,2,1,1,1,99,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,86
2,1,1,1,4,1,1,1,47,14,6,1,1,2,2,2,2,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,130
1,1,3,5,3,3,1,1,22,14,99,1,1,2,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,167
4,1,1,1,10,2,1,2,50,14,5,1,1,1,1,1,1,99,1,3,0,0,0,1,1,0,0,1,1,0,0,0,1,3,2,58
1,1,1,1,2,2,1,2,35,14,99,1,1,3,1,2,2,4,2,3,1,1,1,1,0,0,0,0,1,0,0,0,1,4,3,243
3,1,1,1,4,3,1,1,21,14,6,1,1,4,2,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,146
2,1,1,1,3,1,1,2,44,14,2,1,1,4,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,66
1,1,2,5,2,3,1,1,22,14,6,1,1,4,1,2,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,167
2,1,1,1,2,2,1,2,42,14,11,1,1,4,2,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,231
2,1,1,1,2,1,1,2,51,14,11,1,1,3,1,2,1,99,2,1,0,1,0,1,1,0,0,1,0,0,0,0,1,4,3,218
2,1,1,1,3,1,1,1,40,14,9,1,1,4,2,9,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,204
2,1,1,1,5,2,1,2,36,14,6,1,1,1,1,1,2,4,2,3,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,122
1,1,1,1,10,1,1,2,53,14,8,1,1,9,2,1,2,9,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,18
4,1,1,1,8,1,1,1,38,14,1,1,1,9,9,9,2,99,2,9,0,0,0,0,0,0,0,0,0,1,0,0,1,4,233,6238
1,1,1,1,4,3,1,2,58,14,1,1,1,4,2,1,2,7,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,235
2,1,3,3,2,5,1,2,19,14,4,1,1,4,1,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,25
2,1,2,2,4,2,1,2,27,14,1,1,1,2,2,2,2,6,2,5,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,125
5,1,1,1,10,1,1,1,28,14,10,1,1,1,3,1,2,9,2,3,1,1,1,1,1,0,0,1,1,0,0,0,1,4,3,1
3,1,1,1,11,2,1,1,18,14,11,1,1,3,1,1,2,6,2,5,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,207
1,1,2,2,2,2,1,2,51,14,4,1,1,4,1,2,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,20
3,1,2,2,3,1,1,1,26,14,2,1,1,4,2,9,2,7,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,8
20,1,2,4,2,1,1,2,30,14,6,1,1,2,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295
1,1,1,1,9,1,1,1,48,14,11,1,1,2,2,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,111
5,1,1,1,3,2,1,2,33,14,11,1,1,4,2,9,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,121
5,1,1,1,2,1,1,1,52,14,12,1,1,9,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,20
2,1,2,2,2,1,1,1,22,14,12,1,1,4,1,1,2,5,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,197
4,1,1,1,3,1,1,1,37,14,4,1,1,4,2,9,2,4,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,4,3,52
1,1,1,1,5,2,1,1,61,14,99,1,1,1,1,1,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,44
2,1,1,3,2,1,1,1,61,14,12,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,56
2,1,1,1,4,7,1,2,18,14,4,1,1,4,2,1,2,3,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,3,2,109
4,1,1,2,2,2,1,2,67,14,2,1,1,3,1,2,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,170
2,1,1,1,9,1,1,2,58,14,11,1,1,2,2,1,2,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,47
1,1,1,1,2,4,1,1,60,14,11,1,1,1,1,2,2,4,2,1,0,0,1,1,0,0,0,1,0,0,0,0,1,3,2,130
4,1,5,5,4,2,1,2,44,14,1,1,1,4,2,1,2,4,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,45
1,1,2,3,3,2,1,2,45,14,12,1,1,3,1,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,122
4,1,2,2,13,2,1,2,19,14,5,1,1,3,1,1,2,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,154
1,1,1,5,2,3,1,1,22,14,12,1,1,4,1,2,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,167
4,1,1,1,2,1,1,1,53,14,5,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,32
1,1,3,5,2,3,1,1,22,14,6,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,167
5,1,1,1,2,2,1,1,44,14,5,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,3
2,1,1,1,9,1,1,1,36,14,3,1,1,1,3,1,2,5,2,3,0,1,0,1,0,0,1,0,1,0,0,0,1,2,1,254
2,1,1,1,9,2,1,2,59,14,99,1,1,2,2,1,2,3,2,5,1,0,1,1,0,0,0,0,0,0,0,0,1,2,1,71
3,1,2,2,2,1,1,1,33,14,10,1,1,3,3,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,13
2,1,1,1,7,2,1,2,42,14,9,1,1,2,9,9,2,9,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4,3,231
3,2,1,2,2,1,1,1,37,14,11,1,1,4,1,1,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,6
2,1,1,1,9,3,1,1,50,14,6,1,1,2,2,1,2,6,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,16
20,1,2,2,4,1,1,2,30,14,1,1,1,2,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295
3,1,1,1,10,2,1,1,18,14,9,1,1,3,1,1,1,99,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,207
2,1,2,2,2,2,1,1,41,14,5,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,224
3,1,1,2,3,1,1,1,26,14,11,1,1,4,2,9,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,8
3,1,2,2,2,4,1,1,18,14,6,1,1,1,1,2,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,222
3,1,1,1,8,1,1,1,26,14,11,1,1,2,8,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,8
2,1,1,1,2,6,1,1,19,14,6,1,1,4,1,2,2,4,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,198
3,1,2,2,5,4,1,1,18,14,8,1,1,3,1,1,2,3,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,1,222
5,1,1,1,8,1,1,1,52,14,9,1,1,9,2,9,2,9,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,3,2,20
2,1,1,1,4,5,1,2,19,14,4,1,1,2,2,2,2,5,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,25
5,1,1,1,8,1,1,1,33,14,12,1,1,2,4,9,2,4,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,2,1,235
5,1,1,2,2,1,1,1,36,14,9,1,1,4,2,1,1,99,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,80
1,1,1,1,9,2,1,2,61,14,12,1,1,2,1,1,2,6,2,3,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,24
1,1,1,2,2,2,1,2,51,14,11,1,1,4,1,1,2,9,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,20
4,1,1,4,3,2,1,2,44,14,12,1,1,4,2,9,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45
4,1,2,5,4,2,1,2,44,14,8,1,1,4,2,1,2,9,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45
15,1,1,3,4,1,1,1,73,14,99,1,1,1,2,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,277
3,1,1,1,9,2,1,2,40,14,99,1,1,2,3,1,2,8,2,3,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,173
2,1,1,2,6,3,1,1,38,14,1,1,1,2,1,1,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,26
4,1,1,1,5,2,1,2,45,14,8,1,1,2,1,1,1,99,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,129
1,1,3,3,9,1,1,1,43,14,2,1,1,1,1,1,2,6,2,5,1,0,1,1,0,0,1,0,1,0,0,0,1,4,590,13066
3,1,1,1,5,2,1,2,40,14,8,1,1,3,1,1,2,5,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,173
2,1,1,1,3,2,1,2,42,14,11,1,1,3,1,9,1,99,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,11
4,1,1,1,6,2,1,2,40,14,2,1,1,4,2,2,2,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,4,3,113
5,1,1,1,2,2,1,2,44,14,4,1,1,3,5,2,2,3,2,1,0,1,1,1,1,1,1,0,1,0,0,0,1,3,589,13067
2,1,1,1,3,1,1,1,47,14,2,1,1,4,2,9,2,4,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,132
2,1,1,1,3,7,1,2,18,14,3,1,1,4,2,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,109
1,1,1,2,2,4,1,2,21,14,8,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,56
3,1,1,2,2,4,1,1,18,14,10,1,1,3,1,1,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,222
20,1,3,4,2,1,1,2,30,14,4,1,1,2,1,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295
3,1,1,1,8,1,1,1,33,14,12,1,1,2,3,9,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,13
3,1,1,1,9,1,1,1,33,14,1,1,1,2,3,1,2,4,1,5,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,13
4,1,1,1,2,1,1,1,36,14,10,1,1,4,1,1,2,8,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,86
2,1,1,1,5,4,1,1,24,14,3,1,1,3,1,1,2,4,2,3,1,0,0,0,0,0,0,1,1,0,0,0,1,4,3,246
1,1,1,1,3,1,1,1,36,14,3,1,1,1,1,9,2,4,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3,6,283
