VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,DOMINIO,ESTRATO,EST_DIS,CVE_ENT,CVE_MUN,CLUSTERS
2,1,3,3,4,2,1,1,22,99,3,2,2,2,2,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
3,1,1,4,4,1,1,2,21,99,11,2,2,4,2,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
3,1,4,4,4,1,1,2,21,99,1,2,2,3,2,1,2,9,2,5,1,1,1,1,0,1,0,1,1,0,0,0,1,2,22,2,2,1
3,1,1,1,10,1,1,2,21,99,11,2,2,2,2,1,2,7,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
3,1,2,2,9,1,1,2,21,99,12,2,2,3,2,1,2,7,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
3,1,3,4,4,1,1,2,21,99,99,2,2,4,2,2,2,9,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
3,1,1,3,5,1,1,2,21,99,9,2,2,2,1,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
3,1,2,4,4,1,1,2,21,99,9,2,2,1,2,1,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
3,1,2,3,5,1,1,2,21,99,7,2,2,1,1,1,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
3,1,1,2,9,1,1,2,21,99,12,2,2,2,2,1,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
3,1,3,3,5,1,1,2,21,99,4,2,2,1,6,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
4,1,1,1,6,1,1,1,23,99,12,2,2,1,2,2,2,3,2,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2,22,2,2,1
4,1,1,2,5,1,1,1,23,99,3,2,2,3,1,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
4,1,1,1,4,1,1,1,23,99,2,2,2,3,2,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
4,1,2,2,5,1,1,1,23,99,6,2,2,2,1,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,22,2,2,1
1,1,5,5,6,1,1,2,39,99,11,2,2,9,1,2,2,4,2,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,29,2,2,1
1,1,1,5,6,1,1,2,39,99,6,2,2,9,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
1,1,4,5,6,1,1,2,39,99,99,2,2,9,1,2,2,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
1,1,2,5,6,1,1,2,39,99,6,2,2,4,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
1,1,3,5,6,1,1,2,39,99,99,2,2,9,2,2,2,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
2,1,1,1,3,3,1,1,20,99,11,2,2,3,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
2,1,1,1,10,3,1,1,20,99,7,2,2,2,1,1,2,4,2,2,1,1,1,1,0,1,1,0,1,0,0,0,2,2,29,2,2,1
5,1,1,1,9,2,1,2,44,99,4,2,2,1,2,1,2,5,2,3,1,1,1,1,0,1,1,1,1,0,0,0,2,2,29,2,2,1
6,1,1,1,9,1,1,1,63,99,99,2,2,2,2,1,2,7,2,5,1,1,1,1,1,0,0,0,1,0,0,0,2,2,29,2,2,1
6,1,1,1,3,1,1,1,63,99,99,2,2,4,1,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
9,1,1,1,2,2,1,2,37,99,99,2,2,3,3,2,2,4,2,1,0,1,1,1,0,0,0,1,1,0,0,0,2,2,29,2,2,1
13,1,1,1,6,1,1,1,45,99,6,2,2,4,2,2,2,6,2,5,1,1,1,1,1,0,0,1,0,0,0,0,2,2,29,2,2,1
13,1,1,1,4,1,1,1,45,99,10,2,2,3,2,1,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
15,1,1,1,9,1,1,1,47,99,5,2,2,1,2,1,2,9,1,1,1,1,1,1,0,0,0,0,1,0,0,0,2,2,29,2,2,1
17,1,1,1,2,1,1,1,45,99,5,2,2,4,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
17,1,1,1,4,1,1,1,45,99,5,2,2,4,2,2,1,99,2,1,1,1,1,1,0,1,1,1,1,0,0,0,2,2,29,2,2,1
2,1,1,1,3,3,1,1,21,99,8,2,2,4,1,9,2,3,2,5,0,1,1,1,1,0,0,1,1,0,0,0,2,2,29,2,2,1
3,1,1,1,5,1,1,1,23,99,10,2,2,3,1,1,2,9,2,5,0,0,0,0,0,0,0,0,0,0,0,1,2,2,29,2,2,1
5,1,1,1,9,2,1,2,42,99,8,2,2,1,2,1,2,7,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
5,1,1,1,13,2,1,2,42,99,8,2,2,2,4,1,2,9,2,3,1,1,1,1,1,1,1,1,1,0,0,0,2,2,29,2,2,1
5,1,1,1,3,2,1,2,42,99,12,2,2,3,2,9,2,1,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
5,1,1,1,6,2,1,2,42,99,2,2,2,2,2,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
5,1,1,1,10,2,1,2,42,99,7,2,2,1,5,1,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
10,1,1,1,5,2,1,1,20,99,4,2,2,3,1,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
10,1,3,3,2,2,1,1,20,99,11,2,2,3,3,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
10,1,2,3,2,2,1,1,20,99,10,2,2,2,5,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
10,1,1,1,9,2,1,1,20,99,6,2,2,2,3,1,2,4,2,5,1,1,0,0,0,0,0,0,1,0,0,0,2,2,29,2,2,1
10,1,1,1,3,2,1,1,20,99,5,2,2,4,1,9,2,7,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
10,1,1,3,2,2,1,1,20,99,3,2,2,3,3,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
12,1,1,1,1,1,1,1,34,99,7,2,2,2,5,1,1,99,2,1,1,1,1,1,0,1,1,1,1,0,0,0,2,2,29,2,2,1
14,1,1,1,9,1,1,1,54,99,2,2,2,1,2,1,2,7,2,5,1,0,0,1,0,0,0,0,0,0,0,0,2,2,29,2,2,1
15,1,2,2,4,2,1,2,27,99,12,2,2,4,2,2,2,4,2,1,1,1,1,0,0,0,0,1,1,0,0,0,2,2,29,2,2,1
15,1,1,1,2,2,1,2,27,99,7,2,2,4,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
15,1,1,2,4,2,1,2,27,99,7,2,2,2,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
16,1,1,1,3,2,1,2,35,99,10,2,2,3,2,9,2,6,2,5,0,0,0,0,0,0,1,0,1,0,0,0,2,2,29,2,2,1
18,1,1,2,9,2,1,2,53,99,5,2,2,2,2,1,2,5,2,3,9,9,9,9,9,9,9,9,9,9,9,9,2,2,29,2,2,1
18,1,2,2,9,2,1,2,53,99,9,2,2,2,3,1,2,5,2,2,1,1,1,1,0,1,1,0,0,0,0,0,2,2,29,2,2,1
19,1,1,1,4,2,1,2,32,99,11,2,2,3,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,29,2,2,1
1,1,1,2,2,1,1,2,28,99,12,2,2,9,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
1,1,2,2,2,1,1,2,28,99,99,2,2,9,2,2,2,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,31,2,2,1
4,1,4,4,6,1,1,1,52,99,99,2,2,9,2,2,2,4,2,1,0,1,1,1,0,0,0,0,1,0,0,0,2,2,31,2,2,1
4,1,1,4,6,1,1,1,52,99,10,2,2,1,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
4,1,3,4,6,1,1,1,52,99,99,2,2,9,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
4,1,2,4,6,1,1,1,52,99,99,2,2,3,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
7,1,1,1,2,1,1,1,48,99,9,2,2,2,1,2,2,4,2,5,1,1,1,1,1,1,1,0,1,0,0,0,2,2,31,2,2,1
16,1,1,1,2,3,1,1,24,99,8,2,2,3,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
16,1,1,1,6,3,1,1,24,99,8,2,2,2,2,2,2,6,2,1,1,1,1,1,0,0,0,1,1,0,0,0,2,2,31,2,2,1
16,1,1,1,3,3,1,1,24,99,10,2,2,3,4,9,2,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
2,1,1,1,4,2,1,1,36,99,5,2,2,9,2,2,2,7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,31,2,2,1
3,1,1,1,9,2,1,2,66,99,99,2,2,1,2,1,2,9,2,5,0,1,1,1,0,0,0,1,0,0,0,0,2,2,31,2,2,1
7,1,1,2,9,1,1,1,74,99,10,2,2,2,2,1,2,9,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
7,1,2,2,9,1,1,1,74,99,4,2,2,3,2,1,2,3,2,5,0,0,0,0,0,0,0,0,0,1,0,0,2,2,31,2,2,1
8,1,1,1,7,1,1,1,34,99,7,2,2,9,4,9,2,9,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,31,2,2,1
8,1,1,1,4,1,1,1,34,99,5,2,2,4,2,2,2,9,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
12,1,1,1,3,2,1,2,20,99,1,2,2,2,4,9,2,7,2,5,0,1,1,1,1,0,0,1,1,0,0,0,2,2,31,2,2,1
13,1,1,1,9,1,1,1,45,99,9,2,2,2,2,1,2,3,2,5,1,0,1,1,0,0,0,0,0,0,0,0,2,2,31,2,2,1
17,1,1,1,5,1,1,2,66,99,11,2,2,3,4,1,1,99,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,31,2,2,1
19,1,1,1,6,3,1,2,18,99,5,2,2,1,5,2,2,9,2,1,1,1,1,1,0,0,0,1,1,0,0,0,2,2,31,2,2,1
19,1,1,1,2,3,1,2,18,99,99,2,2,4,2,1,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
19,1,1,1,4,3,1,2,18,99,11,2,2,2,2,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
4,1,1,1,10,2,1,2,42,99,8,2,2,2,1,1,1,99,2,3,0,0,0,0,0,1,0,1,0,0,0,0,2,2,31,2,2,1
4,1,1,1,3,2,1,2,42,99,11,2,2,9,2,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
4,1,1,1,4,2,1,2,42,99,10,2,2,3,2,2,1,99,1,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
4,1,2,2,9,2,1,2,42,99,99,2,2,1,2,1,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
4,1,1,2,9,2,1,2,42,99,5,2,2,2,2,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
4,1,1,1,2,2,1,2,42,99,11,2,2,4,2,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
8,1,1,1,2,1,1,1,34,99,12,2,2,1,2,1,2,4,2,1,0,1,1,1,0,0,0,0,1,0,0,0,2,2,31,2,2,1
11,1,2,2,4,1,1,1,52,99,3,2,2,3,2,2,2,7,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2,31,2,2,1
11,1,1,2,4,1,1,1,52,99,12,2,2,4,2,2,2,9,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
16,1,3,5,2,1,1,2,58,99,11,2,2,4,2,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
16,1,5,5,2,1,1,2,58,99,12,2,2,1,5,1,2,4,2,1,0,0,1,0,0,0,0,1,1,0,0,0,2,2,31,2,2,1
16,1,4,5,2,1,1,2,58,99,11,2,2,4,2,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
16,1,1,5,2,1,1,2,58,99,10,2,2,4,2,1,2,8,1,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
16,1,2,5,2,1,1,2,58,99,10,2,2,4,2,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,31,2,2,1
3,1,1,1,9,1,1,1,46,99,5,2,2,1,2,1,2,7,2,5,1,1,1,1,0,1,1,1,1,0,0,0,3,2,34,2,2,1
4,1,4,5,9,2,1,2,44,99,12,2,2,1,8,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
4,1,2,5,9,2,1,2,44,99,8,2,2,1,2,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
4,1,5,5,9,2,1,2,44,99,12,2,2,1,8,1,2,4,2,5,1,1,1,1,0,0,0,0,1,0,0,0,3,2,34,2,2,1
4,1,1,5,9,2,1,2,44,99,6,2,2,1,2,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
4,1,3,5,9,2,1,2,44,99,11,2,2,1,2,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
7,1,1,1,2,2,1,2,28,99,7,2,2,1,2,2,1,99,2,1,0,1,0,1,0,0,0,1,1,0,0,0,3,2,34,2,2,1
20,1,1,1,2,4,1,2,19,99,11,2,2,9,1,2,2,99,2,1,0,1,0,0,0,0,0,1,0,0,0,0,3,2,34,2,2,1
2,1,1,1,6,1,1,1,32,99,6,2,2,1,2,2,2,3,2,5,1,1,1,1,0,0,1,0,1,0,0,0,3,2,34,2,2,1
11,1,1,1,4,1,1,1,23,99,8,2,2,4,2,1,2,9,2,5,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
11,1,2,2,9,1,1,1,23,99,3,2,2,1,3,1,2,9,2,5,1,1,1,1,0,0,1,0,1,0,0,0,3,2,34,2,2,1
11,1,1,2,9,1,1,1,23,99,2,2,2,2,2,1,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
11,1,1,1,3,1,1,1,23,99,12,2,2,9,2,9,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
14,1,1,1,9,1,1,1,59,99,99,2,2,1,3,1,2,3,2,3,1,0,1,0,0,1,1,0,1,0,0,0,3,2,34,2,2,1
19,1,1,2,4,1,1,1,60,99,9,2,2,3,2,1,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
19,1,2,2,4,1,1,1,60,99,3,2,2,4,2,1,2,4,2,1,0,0,0,1,0,0,0,0,1,1,0,0,3,2,34,2,2,1
5,1,1,1,4,1,1,1,64,99,2,2,2,3,2,2,2,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,34,2,2,1
8,1,1,1,1,1,1,1,70,99,11,2,2,9,2,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
8,1,1,1,4,1,1,1,70,99,99,2,2,9,2,2,2,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,34,2,2,1
9,1,1,1,6,1,1,2,73,99,6,2,2,3,2,2,2,7,2,1,1,1,1,1,0,0,0,1,1,0,0,0,3,2,34,2,2,1
13,1,1,1,4,1,1,1,59,99,7,2,2,1,2,2,2,4,2,1,0,1,1,1,0,0,0,0,1,0,0,0,3,2,34,2,2,1
17,1,1,1,4,1,1,1,27,99,8,2,2,3,2,2,1,99,1,1,1,1,1,1,1,1,1,0,1,0,0,0,3,2,34,2,2,1
1,1,3,3,2,1,1,1,72,99,99,2,2,4,2,2,2,4,2,1,0,1,1,1,1,1,1,1,1,0,0,0,3,2,34,2,2,1
1,1,2,3,2,1,1,1,72,99,99,2,2,3,2,2,2,5,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
1,1,1,3,2,1,1,1,72,99,99,2,2,3,2,2,2,5,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
6,1,1,1,4,2,1,2,69,99,5,2,2,4,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
6,1,1,1,9,2,1,2,69,99,9,2,2,1,2,1,2,4,2,5,1,0,1,1,0,0,0,1,1,0,0,0,3,2,34,2,2,1
8,1,1,2,4,2,1,2,54,99,8,2,2,2,2,2,2,5,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
8,1,2,2,4,2,1,2,54,99,7,2,2,3,2,2,2,4,2,1,0,1,1,1,0,1,1,0,1,0,0,0,3,2,34,2,2,1
10,1,1,1,3,2,1,2,22,99,11,2,2,1,2,9,2,1,2,1,1,1,1,1,0,1,1,0,1,0,0,0,3,2,34,2,2,1
19,1,1,1,2,4,1,2,27,99,11,2,2,3,1,2,2,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,3,2,34,2,2,1
20,1,2,2,4,2,1,2,37,99,5,2,2,9,2,2,2,7,2,1,1,0,0,0,0,0,0,0,1,0,0,0,3,2,34,2,2,1
20,1,1,2,4,2,1,2,37,99,10,2,2,9,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,34,2,2,1
5,1,1,1,5,1,1,1,30,99,1,2,2,2,1,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,92,6,2,1
5,1,1,1,12,1,1,1,30,99,1,2,2,2,1,1,1,99,2,3,0,1,0,0,0,1,0,0,1,0,0,0,1,2,92,6,2,1
6,1,1,1,3,1,1,1,63,99,4,2,2,4,1,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,436,25,11,0
5,1,1,1,4,2,1,2,32,99,7,2,3,2,2,2,2,5,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,21,2,2,1
5,1,1,1,2,2,1,2,32,99,4,2,3,3,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,21,2,2,1
5,1,1,1,7,2,1,2,32,99,1,2,3,2,8,9,2,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,4,21,2,2,1
3,1,5,5,13,2,1,2,23,99,12,2,3,3,1,1,2,7,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,3,14,2,4,1
1,1,1,1,6,2,1,2,29,99,5,2,3,2,5,2,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,14,2,4,1
2,1,2,3,2,1,1,2,55,99,6,2,3,3,1,2,2,8,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
2,1,3,3,2,1,1,2,55,99,12,2,3,3,1,2,2,5,2,1,0,1,1,1,0,0,0,0,0,0,0,0,2,3,28,2,3,1
2,1,1,3,2,1,1,2,55,99,3,2,3,3,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
14,1,2,5,9,2,1,1,42,99,99,2,3,2,2,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
14,1,1,5,9,2,1,1,42,99,99,2,3,1,3,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
14,1,3,5,9,2,1,1,42,99,99,2,3,1,2,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
14,1,4,5,9,2,1,1,42,99,99,2,3,2,1,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
14,1,5,5,9,2,1,1,42,99,99,2,3,1,3,1,2,4,2,5,0,1,0,1,0,0,0,0,0,0,0,0,2,3,28,2,3,1
5,1,1,1,1,4,1,1,26,99,10,2,3,3,1,1,1,99,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,27,2,3,1
9,1,1,1,3,3,1,2,30,99,1,2,3,4,2,9,1,99,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,27,2,3,1
16,1,1,1,1,1,1,1,35,99,5,2,3,3,1,2,1,99,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,27,2,3,1
7,1,1,1,9,2,1,2,46,99,9,2,3,2,2,1,2,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,2,3,28,2,3,1
12,1,1,1,9,4,1,1,29,99,6,2,3,2,3,1,2,6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,28,2,3,1
12,1,1,1,4,4,1,1,29,99,2,2,3,4,2,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
14,1,1,1,1,1,1,1,58,99,2,2,3,1,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
14,1,1,1,9,1,1,1,58,99,7,2,3,1,3,1,2,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,28,2,3,1
17,1,1,1,9,3,1,1,38,99,10,2,3,2,2,1,2,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,2,3,28,2,3,1
1,1,2,2,2,1,1,2,37,99,12,2,3,4,1,2,2,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,28,2,3,1
1,1,1,2,2,1,1,2,37,99,2,2,3,2,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
2,1,1,4,6,4,1,1,23,99,1,2,3,1,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
2,1,3,4,3,4,1,1,23,99,12,2,3,4,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
2,1,3,4,6,4,1,1,23,99,7,2,3,1,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
2,1,4,4,6,4,1,1,23,99,9,2,3,1,2,2,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
2,1,1,1,11,4,1,1,23,99,11,2,3,4,5,1,2,4,2,5,1,0,0,0,0,0,0,0,0,0,0,0,2,3,28,2,3,1
2,1,2,4,6,4,1,1,23,99,3,2,3,1,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
2,1,1,4,3,4,1,1,23,99,8,2,3,4,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
2,1,2,4,3,4,1,1,23,99,11,2,3,4,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
2,1,4,4,3,4,1,1,23,99,12,2,3,4,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
2,1,2,2,2,4,1,1,23,99,9,2,3,1,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
2,1,1,2,2,4,1,1,23,99,1,2,3,1,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,28,2,3,1
3,1,1,1,2,1,1,1,51,99,7,2,3,4,1,2,1,99,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,28,2,3,1
5,1,1,1,4,2,1,2,78,99,2,2,3,2,2,2,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,28,2,3,1
9,1,1,1,2,2,1,2,60,99,99,2,3,9,2,2,2,99,2,9,0,0,0,0,0,0,0,0,0,0,0,1,2,3,28,2,3,1
13,1,1,1,9,1,1,1,31,99,5,2,3,1,2,1,2,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,2,3,28,2,3,1
15,1,1,1,9,5,1,2,86,99,6,2,3,2,2,1,2,5,2,5,0,0,0,1,0,0,0,0,1,0,0,0,2,3,28,2,3,1
17,1,1,1,4,1,1,1,28,99,2,2,3,2,2,2,1,99,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,28,2,3,1
19,1,1,1,2,2,1,2,41,99,10,2,3,3,3,2,2,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,28,2,3,1
2,1,5,5,9,4,1,1,27,99,99,2,3,2,2,1,2,3,2,5,0,1,0,1,0,0,0,0,0,0,0,0,2,2,27,2,3,1
7,1,1,1,9,2,1,2,32,99,99,2,3,2,2,1,2,4,2,3,0,0,1,1,0,0,0,0,0,0,0,0,2,2,27,2,3,1
8,1,1,1,1,1,1,2,47,99,9,2,3,1,1,2,1,99,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,27,2,3,1
11,1,1,1,2,3,1,2,19,99,99,2,3,1,1,2,2,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,27,2,3,1
12,1,1,1,2,2,1,2,44,99,99,2,3,1,1,2,1,99,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,27,2,3,1
15,1,1,1,1,1,1,2,45,99,10,2,3,2,1,2,1,99,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,27,2,3,1
20,1,1,1,10,1,1,1,34,99,3,2,3,2,1,1,2,3,2,5,1,1,1,1,0,0,0,0,0,0,0,0,2,2,27,2,3,1
2,1,1,1,4,2,1,2,55,99,9,2,3,4,2,1,2,3,2,1,1,1,1,1,0,0,0,1,1,0,0,0,2,2,32,2,3,1
4,1,1,1,1,3,1,2,23,99,5,2,3,1,3,2,1,99,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,2,32,2,3,1
20,1,1,1,5,3,1,1,19,99,11,2,3,2,1,1,2,6,2,3,0,1,1,1,0,0,0,1,0,1,0,0,2,2,32,2,3,1
2,1,1,1,3,2,1,2,28,99,99,2,3,3,2,9,2,7,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,32,2,3,1
2,1,1,1,4,2,1,2,28,99,9,2,3,3,2,2,1,99,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,32,2,3,1
4,1,2,2,4,2,1,2,20,99,11,2,3,9,2,2,2,8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,32,2,3,1
