VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,DOMINIO,ESTRATO,EST_DIS,UPM_DIS,CLUSTERS
2,1,1,1,9,2,1,2,42,14,3,1,1,2,2,1,2,3,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,11,1
1,1,1,1,3,1,1,1,48,14,2,1,1,3,1,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,111,1
20,1,4,4,2,1,1,2,30,14,2,1,1,2,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295,1
4,1,1,2,3,1,1,1,59,14,6,1,1,4,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,15,1
4,1,1,1,2,1,1,1,38,14,1,1,1,9,9,2,2,99,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,4,233,6238,1
5,1,2,2,4,4,1,2,25,14,1,1,1,9,2,2,2,4,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,4,3,252,1
5,1,1,1,2,1,1,1,68,14,4,1,1,4,1,2,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,127,1
8,1,1,1,10,1,1,1,30,14,12,1,1,3,2,1,2,3,2,5,1,0,0,1,0,0,0,0,0,0,0,0,3,2,11,295,1
1,1,3,3,2,2,1,2,40,14,4,1,1,3,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,200,1
5,1,1,3,10,3,1,1,18,14,12,1,1,2,1,1,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,116,1
3,1,1,1,5,1,1,1,33,14,10,1,1,3,1,1,2,8,1,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,13,1
5,1,1,2,4,4,1,2,25,14,7,1,1,2,2,2,1,99,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,252,1
5,1,1,1,2,1,1,2,52,14,6,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,14,1
3,1,1,1,3,2,1,2,57,14,10,1,1,4,2,9,2,4,2,1,1,0,0,1,0,0,0,1,1,0,0,0,1,3,2,176,1
2,1,1,1,3,5,1,2,20,14,3,1,1,4,2,9,2,8,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,86,1
2,1,1,1,2,3,1,2,29,14,5,1,1,4,1,2,2,6,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,3,2,6,1
5,1,1,1,4,2,1,2,27,14,6,1,1,2,2,1,2,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,2,3,10,281,1
3,1,1,1,7,1,1,1,29,14,7,1,1,2,4,9,2,6,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,18,1
5,1,1,1,2,2,1,2,27,14,11,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,10,281,1
2,1,1,2,2,2,1,1,41,14,7,1,1,4,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,224,1
3,1,1,1,2,2,1,2,47,14,2,1,1,3,1,2,2,5,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,219,1
5,1,1,2,3,1,1,2,52,14,11,1,1,1,3,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,14,1
4,1,1,1,3,1,1,2,53,14,10,1,1,3,2,9,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,90,1
4,1,2,2,2,2,1,2,44,14,2,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45,1
2,1,1,1,4,5,1,2,20,14,10,1,1,4,2,1,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,86,1
3,1,1,1,2,3,1,1,28,14,5,1,1,3,2,2,2,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,4,3,108,1
4,1,4,5,4,2,1,2,44,14,2,1,1,4,2,1,2,8,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45,1
6,1,1,1,7,2,1,2,35,14,6,1,1,9,9,9,2,4,2,1,1,1,1,1,1,1,1,1,1,0,0,0,3,2,11,295,1
5,1,1,1,2,3,1,1,18,14,3,1,1,2,1,1,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,116,1
5,1,2,3,10,3,1,1,18,14,1,1,1,3,1,1,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,116,1
15,1,1,1,10,1,1,1,31,14,7,1,1,2,1,1,2,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,3,2,11,294,1
1,2,1,1,9,1,1,1,35,14,12,1,1,2,2,1,2,3,2,3,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,43,1
4,1,1,1,2,1,1,2,53,14,5,1,1,1,5,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,90,1
4,1,1,1,11,2,1,2,25,14,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,0,1,1,0,0,0,1,3,2,54,1
4,1,1,1,7,1,1,2,53,14,3,1,1,9,4,9,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,90,1
2,1,1,1,9,4,1,1,21,14,6,1,1,2,1,1,2,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,138,1
20,1,1,2,4,1,1,2,30,14,12,1,1,3,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295,1
19,1,1,1,2,1,1,1,41,14,99,1,1,2,1,2,2,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,11,304,1
4,1,2,2,3,1,1,1,59,14,4,1,1,4,2,9,2,4,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,15,1
3,1,2,2,3,1,1,1,29,14,4,1,1,3,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,18,1
5,1,1,1,15,1,1,1,30,14,4,1,1,9,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,69,1
2,1,1,2,2,1,1,1,64,14,11,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,40,1
2,1,1,1,6,5,1,2,20,14,7,1,1,2,4,1,2,7,2,5,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,86,1
5,1,1,1,2,1,1,1,60,14,9,1,1,1,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,227,1
1,1,2,2,2,1,1,1,48,14,6,1,1,3,1,2,2,4,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,111,1
1,2,1,1,4,1,1,1,35,14,7,1,1,1,2,1,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,43,1
2,2,1,1,11,3,1,2,19,14,12,1,1,2,1,1,2,4,2,2,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,37,1
2,1,1,1,5,2,1,2,23,14,4,1,1,2,1,1,2,7,2,3,0,0,1,1,0,0,0,1,1,0,0,0,1,2,1,149,1
2,1,1,1,2,2,1,2,43,14,10,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,184,1
5,1,1,1,2,4,1,2,25,14,6,1,1,3,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,252,1
1,3,2,2,2,1,1,2,32,14,4,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,17,1
4,1,1,5,4,2,1,2,44,14,12,1,1,2,2,1,2,8,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45,1
2,1,1,1,4,1,1,2,38,14,6,1,1,4,2,1,2,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,27,1
1,1,1,1,3,3,1,2,22,14,6,1,1,4,2,9,2,7,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,174,1
3,1,3,3,2,2,1,2,28,14,1,1,1,4,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,24,1
5,1,1,2,2,1,1,1,23,14,12,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,161,1
3,1,1,1,2,1,1,1,59,14,2,1,1,4,2,2,2,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,31,1
1,1,3,3,3,2,1,2,45,14,99,1,1,3,1,9,2,6,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,3,2,122,1
2,1,1,1,10,2,1,2,43,14,5,1,1,2,2,1,1,99,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,184,1
1,1,1,1,3,2,1,2,51,14,5,1,1,2,2,9,2,9,2,5,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,20,1
1,1,1,2,2,1,1,1,48,14,12,1,1,3,4,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,5,261,1
20,1,1,4,2,1,1,2,30,14,9,1,1,2,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295,1
3,1,1,2,3,1,1,1,29,14,11,1,1,3,2,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,18,1
20,1,1,2,9,1,1,2,30,14,12,1,1,1,1,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295,1
1,3,1,2,2,1,1,2,32,14,99,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,17,1
4,1,1,1,5,2,1,1,24,14,11,1,1,4,1,1,2,9,1,3,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,157,1
3,1,1,1,2,1,1,1,49,14,2,1,1,4,1,2,2,3,2,5,0,1,1,1,0,0,0,0,0,0,0,0,1,3,2,99,1
3,1,1,2,2,1,1,1,33,14,11,1,1,3,3,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,13,1
4,1,2,2,4,1,1,2,43,14,5,1,1,1,2,2,2,8,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,191,1
2,1,1,1,4,2,1,2,39,14,7,1,1,9,2,2,2,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,9,277,1
14,1,1,1,9,4,1,2,23,14,3,1,1,2,3,1,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,2,2,593,13140,0
1,1,1,3,3,2,1,2,45,14,10,1,1,3,1,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,122,1
5,1,1,1,4,3,1,2,23,14,8,1,1,2,2,2,2,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,16,1
2,2,1,1,10,3,1,2,19,14,12,1,1,4,8,1,1,99,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,37,1
3,1,1,1,9,2,1,2,57,14,6,1,1,1,2,1,2,8,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,176,1
3,1,1,1,2,1,1,1,29,14,4,1,1,4,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,18,1
1,3,1,1,4,1,1,2,32,14,2,1,1,2,2,1,2,4,2,1,0,1,1,0,0,0,0,1,1,0,0,0,1,3,2,17,1
4,1,1,2,13,2,1,2,19,14,8,1,1,1,1,1,2,5,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,154,1
2,1,1,1,5,3,1,1,27,14,9,1,1,4,1,1,2,3,2,1,1,0,0,0,0,0,1,1,1,0,0,0,1,3,2,146,1
5,1,1,1,10,1,1,1,27,14,8,1,1,1,1,1,2,4,2,5,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,157,1
2,1,1,2,2,5,1,2,20,14,10,1,1,4,2,1,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,86,1
3,1,1,1,6,2,1,1,23,14,7,1,1,3,3,2,2,9,2,1,1,1,1,1,1,0,0,1,1,0,0,0,1,4,3,68,1
5,1,3,3,10,3,1,1,18,14,1,1,1,3,1,1,2,6,2,3,0,1,0,0,0,0,0,1,1,0,0,0,1,3,2,116,1
3,1,1,1,10,1,1,1,56,14,12,1,1,3,1,1,2,4,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,141,1
5,1,1,2,5,1,1,1,28,14,9,1,1,2,6,1,2,8,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,206,1
3,1,2,2,2,1,1,1,47,14,4,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,148,1
4,1,1,2,2,3,1,1,40,14,9,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,134,1
1,1,1,1,10,1,1,2,35,14,7,1,1,2,1,1,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,182,1
