VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,FAC_DEL,EST_DIS,UPM_DIS,DOMINIO,ESTRATO,FAC_DEL_AM,CLUSTERS
4,1,1,2,9,2,26,1,99,10,5,2,2,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,68,3562,1,3,260,0
2,1,1,1,9,1,26,1,4,10,5,2,2,1,2,9,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,280,68,3562,1,3,260,0
1,1,1,1,9,4,26,1,5,10,5,2,2,1,2,3,2,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,784,67,3661,1,2,732,0
4,1,1,1,5,2,26,1,7,10,5,2,6,1,2,7,2,1,9000,0,0,0,0,0,0,0,0,1,1,0,0,0,370,68,3611,1,3,340,0
3,1,1,1,1,2,26,1,3,10,5,4,1,2,2,6,2,1,6000,0,0,0,1,0,0,0,0,0,1,0,0,0,201,67,3507,1,2,182,0
1,1,2,2,4,1,26,1,1,10,5,2,2,2,2,6,2,1,100,0,0,0,0,0,0,1,0,0,1,0,0,0,125,68,3553,1,3,117,0
2,1,2,3,3,3,26,1,3,10,5,3,2,1,2,8,2,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,202,69,3655,1,4,189,0
4,1,1,1,9,2,26,1,12,10,5,2,2,1,2,4,2,5,4853,227,1,1,1,1,1,1,1,1,1,0,0,0,444,68,3487,1,3,411,0
3,1,1,1,9,1,26,1,3,10,5,2,2,1,2,4,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,304,68,3560,1,3,280,0
3,1,3,3,2,1,26,1,2,10,5,4,1,2,2,7,2,1,4000,0,1,0,1,0,0,0,0,0,0,0,0,0,129,68,3492,1,3,119,0
4,1,2,2,10,2,26,1,10,10,5,3,2,1,2,7,2,5,4853,227,0,0,1,1,0,0,0,0,0,0,0,0,444,67,3559,1,2,410,0
4,1,1,1,3,1,26,1,5,10,5,3,2,1,2,4,2,1,5000,0,1,0,1,1,0,1,0,0,1,0,0,0,134,68,3490,1,3,124,0
4,1,2,2,2,1,26,1,5,10,5,4,1,2,2,4,2,1,5000,0,0,0,0,0,0,0,0,1,0,0,0,0,157,68,3617,1,3,148,0
5,1,1,1,9,2,26,1,9,10,5,1,2,1,2,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,324,68,3509,1,3,302,0
2,1,1,1,2,2,26,1,6,10,5,2,1,2,2,7,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,155,68,3480,1,3,143,0
3,1,5,5,3,1,26,1,1,10,5,4,2,1,2,6,2,1,350,0,0,0,0,0,0,0,0,1,0,0,0,0,162,68,3509,1,3,151,0
2,1,1,1,3,6,26,1,5,10,5,4,2,1,2,3,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,134,68,3490,1,3,124,0
3,1,3,5,3,1,26,1,11,10,5,3,2,1,2,6,2,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,162,68,3509,1,3,151,0
5,1,2,2,3,3,26,1,12,10,5,2,1,1,2,9,2,1,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,161,68,3545,1,3,149,0
5,1,1,2,3,3,26,1,8,10,5,3,1,1,2,9,2,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,161,68,3545,1,3,149,0
2,1,1,1,9,3,26,1,4,10,5,2,2,1,2,7,2,5,4853,227,1,0,1,0,0,1,0,0,1,0,0,0,302,68,3599,1,3,282,0
1,1,1,1,3,1,26,1,9,10,5,9,2,1,2,6,2,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,157,68,3534,1,3,146,0
4,1,1,1,9,1,26,1,5,10,5,1,1,1,2,7,2,5,4853,227,0,0,0,1,0,0,0,0,1,0,0,0,432,68,3598,1,3,399,0
3,1,1,1,9,1,26,1,3,10,5,1,2,1,2,6,2,5,4853,227,0,0,0,0,0,0,0,0,1,0,0,0,480,69,3666,1,4,440,0
2,1,1,1,9,1,26,1,7,10,5,3,2,1,1,4,2,5,4853,227,0,0,0,0,0,1,0,0,0,0,0,0,187,67,3566,1,2,174,0
2,1,2,5,3,1,26,1,10,10,5,3,1,1,2,7,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,155,68,3502,1,3,146,0
1,1,1,1,3,1,26,1,6,10,5,2,2,1,2,3,2,1,200,0,1,1,1,1,0,1,1,1,1,0,0,0,152,68,3639,1,3,137,0
4,1,2,3,3,1,26,1,9,10,5,3,2,1,2,6,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,153,68,3522,1,3,142,0
3,1,1,1,9,2,26,1,6,10,5,2,1,2,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,68,3493,1,3,228,0
3,1,1,1,10,2,26,1,3,10,5,1,2,1,2,5,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,240,68,3493,1,3,228,0
5,1,1,1,4,1,26,1,6,10,5,9,2,2,1,4,2,1,65000,0,0,0,0,1,0,0,0,1,0,0,0,0,160,63,3785,2,2,0,0
3,1,2,2,10,1,26,1,11,10,5,3,1,1,2,5,2,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,504,68,3494,1,3,474,0
3,1,1,1,4,1,26,1,1,10,5,4,2,1,2,7,2,1,300,0,0,1,1,1,0,1,0,0,1,0,0,0,214,67,3630,1,2,197,0
2,1,1,2,9,2,26,1,10,10,5,1,3,1,2,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,67,3629,1,2,564,0
2,1,1,1,8,4,26,1,7,10,5,2,2,1,2,6,2,1,4000,0,0,0,1,1,0,0,0,1,1,0,0,0,450,67,3608,1,2,414,0
4,1,1,1,3,2,26,1,7,10,5,3,2,1,2,3,2,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,160,68,3521,1,3,147,0
2,1,1,1,2,4,26,1,6,10,5,2,1,1,2,6,2,3,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,225,67,3608,1,2,207,0
4,1,1,2,7,1,26,1,11,10,5,1,8,1,2,6,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,774,69,3594,1,4,705,0
4,1,2,2,2,1,26,1,2,10,5,3,5,2,2,6,2,1,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,258,69,3594,1,4,235,0
1,1,2,2,4,1,26,1,2,10,5,4,2,1,2,5,2,5,4853,227,0,0,0,1,0,0,0,0,1,0,0,0,185,67,3631,1,2,170,0
1,1,1,1,11,2,26,1,12,10,5,2,1,1,2,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,366,67,3570,1,2,342,0
7,1,2,2,3,2,26,1,2,10,5,3,2,1,2,9,1,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,251,65,3853,3,2,0,0
3,1,2,3,2,2,26,1,12,10,5,3,1,2,2,1,2,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,166,68,3506,1,3,149,0
2,1,1,1,5,3,26,1,10,10,5,3,1,1,2,3,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,730,68,3473,1,3,675,0
3,1,3,3,3,1,26,1,8,10,5,3,2,1,1,4,2,3,800,0,0,0,0,0,0,0,0,0,0,0,0,0,196,67,3661,1,2,183,0
2,1,2,5,5,4,26,1,9,10,5,3,4,1,2,6,2,1,650,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,67,3662,1,2,974,0
5,1,1,1,2,2,26,1,12,10,5,2,2,2,2,6,2,1,1700,0,1,0,0,0,0,0,0,0,0,0,0,0,212,69,3486,1,4,199,0
2,1,3,3,3,3,26,1,10,10,5,3,2,1,2,7,2,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,202,69,3655,1,4,189,0
4,1,1,2,1,1,26,1,7,10,5,3,1,2,1,4,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,143,68,3624,1,3,132,0
2,1,1,1,1,1,26,1,2,10,5,2,1,1,2,9,2,1,180000,10000,0,0,1,0,0,0,0,1,1,0,0,0,108,68,3491,1,3,101,1
1,1,1,1,3,2,26,1,7,10,5,1,1,1,2,4,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,152,68,3560,1,3,140,0
4,1,1,1,2,2,26,1,8,10,5,3,1,2,2,4,2,1,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,187,67,3656,1,2,173,0
4,1,1,3,2,1,26,1,12,10,5,2,1,2,2,6,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,108,68,3491,1,3,101,0
1,1,1,1,2,3,26,1,12,10,5,3,1,2,2,4,2,1,1500,0,0,0,0,1,0,0,0,0,0,0,0,0,187,67,3656,1,2,173,0
2,1,3,3,9,6,26,1,10,10,5,1,2,1,2,3,2,5,4853,227,1,1,1,1,1,1,1,1,1,0,0,0,670,68,3490,1,3,620,0
3,1,1,1,5,2,26,1,10,10,5,3,1,1,2,4,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,561,67,3656,1,2,519,0
5,1,1,1,2,2,26,1,6,10,5,3,2,2,2,5,2,1,800,0,0,0,1,0,0,0,0,0,1,0,0,0,175,69,3532,1,4,163,0
5,1,1,1,9,2,26,1,8,10,5,1,2,1,2,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,338,68,3589,1,3,314,0
1,1,2,3,2,3,26,1,99,10,5,4,4,2,2,3,2,1,9999999,0,0,0,0,0,0,0,0,0,0,0,0,0,155,68,3471,1,3,143,1
2,1,1,5,3,1,26,1,12,10,5,4,1,1,2,7,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,155,68,3502,1,3,146,0
5,1,2,2,2,3,26,1,10,10,5,2,2,2,2,9,2,1,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,161,68,3545,1,3,149,0
2,1,1,1,3,1,26,1,5,10,5,2,2,1,1,4,2,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,208,69,3647,1,4,195,0
2,1,1,1,9,3,26,1,2,10,5,3,1,1,2,5,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,648,68,3597,1,3,612,0
3,1,1,2,4,1,26,1,5,10,5,4,2,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,67,3664,1,2,175,0
5,1,1,1,3,3,26,1,6,10,5,1,2,1,2,4,2,5,4853,227,0,0,1,0,0,0,0,0,1,0,0,0,133,68,3596,1,3,122,0
2,1,1,1,10,1,26,1,11,10,5,2,1,1,2,9,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,1,0,392,69,3665,1,4,364,0
2,1,1,1,3,3,26,1,2,10,5,2,1,1,2,5,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,162,68,3597,1,3,153,0
4,1,1,1,10,1,26,1,12,10,5,2,2,1,2,9,2,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,143,68,3624,1,3,132,0
2,1,1,1,3,2,26,1,11,10,5,3,2,1,2,4,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,182,67,3592,1,2,171,0
2,1,2,2,3,2,26,1,5,10,5,3,2,1,2,4,2,1,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,148,68,3561,1,3,138,0
2,1,1,1,10,1,26,1,12,10,5,3,2,1,1,4,2,2,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,208,69,3658,1,4,192,0
1,1,1,1,11,1,26,1,10,10,5,2,5,1,2,6,2,5,4853,227,1,1,1,1,1,1,1,1,1,0,0,0,120,68,3493,1,3,114,0
1,1,1,2,5,1,26,1,12,10,5,3,1,1,1,4,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,728,67,3592,1,2,684,0
4,1,1,1,3,2,26,1,8,10,5,2,2,1,2,9,2,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,154,68,3505,1,3,143,0
2,1,1,1,3,2,26,1,2,10,5,4,3,1,2,3,2,1,200,0,0,1,0,1,0,1,0,0,0,0,0,0,168,68,3494,1,3,158,0
2,1,1,1,7,4,26,1,3,10,5,2,4,1,2,3,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,450,67,3608,1,2,414,0
4,1,1,1,9,2,26,1,9,10,5,2,5,1,2,7,2,5,4853,227,0,0,0,0,0,0,0,0,1,0,0,0,320,68,3521,1,3,294,0
5,1,1,1,9,1,26,1,6,10,5,2,2,1,2,4,2,5,4853,227,0,0,0,0,0,0,0,0,1,0,0,0,540,67,3607,1,2,498,0
5,1,1,1,5,2,26,1,12,10,5,2,6,1,2,4,2,1,4000,0,0,0,1,1,0,0,0,0,1,0,0,0,549,67,3570,1,2,513,0
4,1,1,1,8,3,26,1,12,10,5,2,2,1,2,6,2,1,1500,0,0,0,0,0,0,0,0,1,0,0,0,0,558,69,3671,1,4,513,0
4,1,1,2,9,1,26,1,12,10,5,1,3,1,2,7,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,774,69,3594,1,4,705,0
5,1,1,1,10,2,26,1,1,10,5,2,1,1,2,4,2,5,4853,227,0,0,0,1,0,0,0,0,0,0,0,0,585,67,3593,1,2,540,0
2,1,1,2,2,2,26,1,11,10,5,4,1,2,2,3,2,1,9999999,0,0,0,0,0,0,0,0,0,0,0,0,0,148,68,3541,1,3,141,1
2,1,2,2,4,3,26,1,11,10,5,3,2,2,2,4,2,5,4853,227,1,1,1,1,0,0,0,1,1,0,0,0,186,69,3671,1,4,171,0
3,1,1,1,3,2,26,1,3,10,5,4,2,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,148,68,3474,1,3,137,0
3,1,2,3,4,1,26,1,5,10,5,3,2,1,2,9,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,137,68,3563,1,3,128,0
1,1,1,1,2,1,26,1,2,10,5,4,1,2,2,6,2,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,152,68,3531,1,3,141,0
9,1,1,1,9,1,26,1,11,10,5,3,1,1,2,4,2,5,4853,227,0,0,0,1,0,0,0,0,0,0,0,0,364,65,3821,3,2,0,0
4,1,2,2,1,1,26,1,2,10,5,3,1,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,68,3624,1,3,132,0
1,1,1,1,6,2,26,1,4,10,5,2,1,2,2,4,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,1,456,68,3560,1,3,420,0
5,1,1,1,2,2,26,1,7,10,5,3,1,2,1,4,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,152,68,3560,1,3,140,0
1,1,1,1,10,2,26,1,7,10,5,3,1,1,2,3,2,3,600,0,1,1,1,1,0,1,1,1,1,0,0,0,268,68,3490,1,3,248,0
5,1,1,3,3,4,26,1,12,10,5,3,2,1,2,7,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,199,67,3511,1,2,186,0
8,1,1,1,2,1,26,1,1,10,5,3,1,2,2,4,2,1,4000,0,0,0,1,0,0,0,0,0,0,0,0,0,144,64,3823,3,1,0,0
2,1,1,1,1,2,26,1,6,10,5,2,1,2,1,4,2,1,30000,0,0,0,0,0,0,0,0,1,1,0,0,0,157,68,3617,1,3,148,0
3,1,4,5,3,1,26,1,5,10,5,4,2,1,2,6,2,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,162,68,3509,1,3,151,0
1,1,1,1,4,1,26,1,3,10,5,4,2,1,2,4,2,5,4853,227,0,1,0,0,0,0,0,0,0,0,0,0,208,67,3645,1,2,192,0
4,1,1,1,4,2,26,1,3,10,5,2,2,2,2,3,2,5,4853,227,0,0,0,1,0,0,0,0,0,0,0,0,158,68,3576,1,3,147,0
3,1,2,5,3,1,26,1,11,10,5,3,2,1,2,6,2,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,162,68,3509,1,3,151,0
2,2,1,1,3,1,26,1,6,10,5,9,2,1,2,4,2,1,9999999,0,0,0,0,0,0,0,0,1,0,0,0,0,144,68,3500,1,3,135,1
4,1,1,1,2,1,26,1,11,10,5,3,1,2,2,7,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,144,68,3598,1,3,133,0
4,1,3,3,9,2,26,1,2,10,5,2,2,1,2,6,2,3,0,0,1,1,1,1,0,1,1,1,0,0,0,0,525,69,3532,1,4,489,0
3,1,1,1,8,1,26,1,5,10,5,2,4,1,2,4,2,1,800,0,0,0,0,0,0,0,0,0,1,0,0,0,561,67,3664,1,2,525,0
5,1,1,1,4,2,26,1,12,10,5,3,2,2,2,7,2,1,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,187,67,3664,1,2,175,0
2,1,3,3,2,2,26,1,8,10,5,4,1,2,2,6,2,1,2000,0,1,1,1,1,0,1,1,1,1,0,0,0,133,68,3596,1,3,122,0
4,1,1,1,4,1,26,1,7,10,5,3,2,2,2,5,1,5,4853,227,1,0,0,1,0,0,0,1,1,0,0,0,133,68,3596,1,3,122,0
3,1,1,1,2,1,26,1,2,10,5,1,2,2,1,4,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,240,69,3666,1,4,220,0
3,1,1,1,4,2,26,1,1,10,5,2,2,2,2,4,2,1,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,174,67,3600,1,2,163,0
1,1,1,2,3,1,26,1,6,10,5,4,5,1,2,4,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,182,67,3592,1,2,171,0
3,1,1,3,3,3,26,1,3,10,5,4,2,1,2,9,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,148,68,3561,1,3,138,0
2,1,1,2,3,2,26,1,8,10,5,3,2,1,2,4,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,148,68,3561,1,3,138,0
5,1,1,1,9,1,26,1,9,10,5,1,2,2,2,4,2,5,4853,227,0,0,0,1,0,0,0,0,1,0,0,0,471,68,3605,1,3,432,0
1,1,2,2,5,1,26,1,12,10,5,2,1,1,2,4,2,1,3000,0,0,0,0,0,0,0,0,1,1,0,0,0,728,67,3592,1,2,684,0
1,1,2,2,3,1,26,1,10,10,5,3,1,1,1,4,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,182,67,3592,1,2,171,0
1,1,1,1,3,4,26,1,2,10,5,3,2,1,2,7,2,1,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,155,68,3504,1,3,143,0
4,1,1,1,2,3,26,1,4,10,5,1,1,2,1,4,2,1,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,155,68,3504,1,3,143,0
3,1,1,1,4,4,26,1,2,10,5,3,2,2,2,1,2,5,4853,227,0,0,0,0,0,0,0,0,1,0,0,0,225,67,3608,1,2,207,0
16,1,1,1,10,2,26,1,2,10,5,2,2,2,2,9,2,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,342,65,3811,3,2,0,0
1,1,1,1,9,2,26,1,6,10,5,1,8,1,2,9,2,5,4853,227,0,1,1,1,0,1,0,1,1,0,0,0,366,5,158,1,3,364,0
4,1,2,2,9,2,26,1,99,10,5,2,2,2,2,4,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,280,68,3562,1,3,260,0
7,1,1,2,9,2,26,1,12,10,5,2,4,1,2,3,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,502,65,3853,3,2,0,0
2,1,1,2,4,3,26,1,12,10,5,3,2,2,2,3,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,186,69,3671,1,4,171,0
1,1,1,2,5,4,26,1,10,10,5,4,1,1,2,1,2,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,784,67,3661,1,2,732,0
2,1,1,1,2,3,26,1,7,10,5,4,1,2,1,4,2,1,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,186,69,3671,1,4,171,0
2,1,2,2,2,2,26,1,6,10,5,4,1,2,2,3,2,1,9999999,0,0,0,1,0,0,0,0,0,0,0,0,0,148,68,3541,1,3,141,1
1,1,1,1,4,2,26,1,1,10,5,2,2,1,2,9,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,201,67,3507,1,2,182,0
17,1,1,1,9,2,26,1,5,10,5,2,2,1,2,1,2,1,5000,0,0,0,1,0,0,0,0,0,0,0,0,0,546,65,3821,3,2,0,0
3,1,3,3,4,1,26,1,1,10,5,3,2,2,2,9,2,1,500,0,1,1,0,0,0,0,0,0,1,0,0,0,137,68,3563,1,3,128,0
1,1,1,1,2,1,26,1,2,10,5,1,1,2,2,6,2,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,153,68,3556,1,3,144,0
2,1,4,4,8,3,26,1,12,10,5,3,4,1,2,9,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,69,3655,1,4,945,0
5,1,1,3,3,2,26,1,4,10,5,4,1,1,2,4,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,194,69,3519,1,4,180,0
2,1,3,3,2,1,26,1,1,10,5,4,1,2,2,4,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,162,68,3509,1,3,151,0
2,1,1,1,2,1,26,1,6,10,5,2,2,2,1,4,2,1,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,212,69,3657,1,4,196,0
2,1,3,4,10,3,26,1,7,10,5,2,2,2,2,9,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,1010,69,3655,1,4,945,0
5,1,1,1,4,2,26,1,7,10,5,2,2,1,1,4,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,169,68,3589,1,3,157,0
4,1,1,1,4,1,26,1,10,10,5,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,67,3690,1,2,0,0
2,1,2,4,10,3,26,1,6,10,5,2,2,1,2,9,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,1010,69,3655,1,4,945,0
4,1,1,1,3,2,26,1,6,10,5,2,2,1,2,4,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,175,69,3532,1,4,163,0
4,1,1,2,9,1,26,1,12,10,5,1,2,1,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,68,3589,1,3,314,0
5,1,1,5,3,1,26,1,11,10,5,3,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,67,3614,1,2,167,0
5,1,1,1,4,1,26,1,12,10,5,1,2,1,2,4,2,1,1500,0,0,0,1,0,0,0,0,0,1,0,0,0,166,68,3469,1,3,152,0
1,1,1,3,2,3,26,1,99,10,5,4,1,2,2,3,2,1,9999999,0,0,0,0,0,0,0,0,0,0,0,0,0,155,68,3471,1,3,143,1
2,1,2,2,4,1,26,1,3,10,5,2,2,2,2,6,2,1,3500,0,0,0,0,0,0,0,0,1,1,0,0,0,224,67,3638,1,2,204,0
3,1,1,1,3,1,26,1,8,10,5,9,2,1,2,6,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,211,68,3676,1,3,195,0
2,1,1,3,2,2,26,1,12,10,5,4,1,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,68,3596,1,3,122,0
3,1,2,2,4,1,26,1,12,10,5,2,2,2,2,6,1,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,187,67,3664,1,2,175,0
2,1,2,3,2,2,26,1,11,10,5,4,1,2,2,3,2,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,133,68,3596,1,3,122,0
4,1,1,1,2,5,26,1,9,10,5,4,1,2,1,4,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,152,68,3639,1,3,137,0
5,1,1,1,3,2,26,1,2,10,5,4,2,1,2,4,2,1,800,0,1,1,1,1,1,1,1,1,1,0,0,0,152,68,3639,1,3,137,0
5,1,3,3,13,2,26,1,11,10,5,3,1,1,2,1,2,3,0,1000,0,0,1,0,0,1,0,0,1,0,0,0,582,69,3519,1,4,540,0
4,1,1,1,7,5,26,1,7,10,5,2,4,1,2,9,2,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,456,68,3639,1,3,411,0
2,1,1,1,7,1,26,1,7,10,5,2,1,1,2,6,2,1,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,260,68,3625,1,3,240,0
1,1,1,1,6,1,26,1,7,10,5,2,1,2,2,4,2,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,13,324,1,3,0,0
1,1,1,1,3,2,26,1,5,10,5,4,2,1,2,6,2,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,203,67,3629,1,2,188,0
1,1,1,1,8,2,26,1,9,10,5,2,2,1,2,3,2,1,2500,0,1,1,1,1,0,0,0,0,1,0,0,0,406,67,3629,1,2,376,0
1,1,1,1,3,1,26,1,4,10,5,3,2,1,2,4,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,200,67,3628,1,2,184,0
5,1,1,1,4,1,26,1,10,10,5,1,2,2,2,9,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,166,68,3503,1,3,151,0
1,1,1,2,4,1,26,1,12,10,5,3,2,1,2,6,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,143,68,3540,1,3,131,0
4,1,1,1,2,3,26,1,11,10,5,3,1,2,2,3,2,1,9000,0,0,0,0,0,0,0,0,1,0,0,0,0,209,69,3539,1,4,197,0
1,1,2,2,10,2,26,1,10,10,5,2,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,67,3570,1,2,342,0
2,1,1,1,2,1,26,1,11,10,5,3,2,2,2,3,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,140,68,3562,1,3,130,0
3,1,2,3,3,3,26,1,1,10,5,4,2,1,2,9,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,148,68,3561,1,3,138,0
1,1,1,1,2,2,26,1,10,10,5,4,1,2,2,7,2,1,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,147,68,3538,1,3,136,0
2,1,1,1,7,1,26,1,2,10,5,2,4,1,2,9,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,280,68,3562,1,3,260,0
3,1,1,1,9,2,26,1,6,10,5,2,2,1,2,1,2,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,276,68,3641,1,3,256,0
1,1,1,2,3,1,26,1,11,10,5,1,2,1,2,4,2,1,9999999,0,0,0,0,0,0,0,0,0,0,0,0,0,141,68,3542,1,3,130,1
5,1,1,1,4,2,26,1,12,10,5,9,2,2,2,9,2,1,2000,0,0,0,0,1,0,0,0,1,1,0,0,0,193,67,3564,1,2,180,0
4,1,1,1,9,2,26,1,99,10,5,1,2,1,2,3,2,5,4853,227,0,1,1,1,1,1,0,1,1,0,0,0,398,67,3612,1,2,372,0
2,1,2,2,3,1,26,1,9,10,5,3,2,1,2,6,2,5,4853,227,0,0,0,0,0,0,0,0,0,1,0,0,199,67,3612,1,2,186,0
4,1,1,2,10,2,26,1,12,10,5,1,2,1,2,7,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,444,67,3559,1,2,410,0
1,1,1,1,2,4,26,1,10,10,5,3,1,2,2,3,2,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,141,68,3489,1,3,131,0
2,1,2,3,9,6,26,1,7,10,5,2,2,1,2,3,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,670,68,3490,1,3,620,0
