VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,FAC_DEL,EST_DIS,UPM_DIS,DOMINIO,ESTRATO,FAC_DEL_AM,CLUSTERS
2,1,1,1,2,5,14,1,12,1,1,4,1,2,2,9,2,1,900,0,0,0,0,0,0,0,0,1,1,0,0,0,195,5,148,1,3,192,0
2,1,1,2,3,1,14,1,6,1,1,3,2,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,5,268,1,3,169,0
3,1,1,1,6,2,14,1,7,1,1,2,2,2,1,4,2,1,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,360,4,238,1,2,358,0
1,1,3,3,2,1,14,1,12,1,1,1,1,2,2,4,2,1,1200,0,0,0,0,0,0,0,0,1,0,0,0,0,180,4,238,1,2,179,0
5,1,2,2,10,1,14,1,5,1,1,2,2,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,4,249,1,2,297,0
1,1,1,1,10,1,14,1,10,1,1,2,1,1,2,6,2,5,4853,227,0,0,1,0,0,0,0,1,0,0,0,0,185,4,235,1,2,185,0
5,1,1,1,8,1,14,1,1,1,1,1,4,1,2,6,2,1,3500,0,1,1,1,1,1,1,1,0,1,0,0,0,525,5,58,1,3,528,0
3,1,1,2,2,2,14,1,4,1,1,4,1,2,2,6,2,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,195,5,148,1,3,192,0
1,1,1,1,9,2,14,1,5,1,1,2,2,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,5,21,1,3,624,0
1,1,2,3,2,1,14,1,12,1,1,3,1,2,2,4,2,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,180,4,238,1,2,179,0
